Phrase ^ Count
and the  ^ 717
where i  ^ 6
and besought  ^ 6
the master  ^ 6
thee. but  ^ 6
concerning this  ^ 6
the prince  ^ 6
them, because  ^ 6
the rulers  ^ 6
high priest, and  ^ 6
now when  ^ 6
they feared the  ^ 6
peter answered  ^ 6
place, and  ^ 6
say, that  ^ 6
and power,  ^ 6
them: but  ^ 6
mount sinai,  ^ 6
church in  ^ 6
as it is written  ^ 6
your fathers  ^ 6
and he answered  ^ 6
his eyes  ^ 6
saw him,  ^ 6
lord said,  ^ 6
o house of israel,  ^ 6
ten men  ^ 6
seest thou?  ^ 6
them, saith the lord  ^ 6
before their enemies,  ^ 6
rejoice in  ^ 6
and be  ^ 6
in them.  ^ 6
in the lord:  ^ 6
for yet  ^ 6
a decree, that  ^ 6
that every  ^ 6
which thou sawest  ^ 6
time, saying,  ^ 6
caleb the son  ^ 6
two tables  ^ 6
go to possess  ^ 6
and mightier than  ^ 6
thou shalt not eat  ^ 6
thee this  ^ 6
of this law  ^ 6
from the people,  ^ 6
which shall be  ^ 6
behold, i have given  ^ 6
sihon king  ^ 6
and all his people,  ^ 6
and speak unto  ^ 6
shall speak unto  ^ 6
to the door  ^ 6
balaam the son  ^ 6
when a man  ^ 6
and it shall be, when  ^ 6
day the lord  ^ 6
thou canst not  ^ 6
thou knowest not  ^ 6
upon the land,  ^ 6
thee into the land  ^ 6
and do all  ^ 6
unto me  ^ 6
the name of the lord:  ^ 6
unto the children of israel  ^ 6
in this land,  ^ 6
and the judgments, which  ^ 6
king of bashan,  ^ 6
against the lord.  ^ 6
for there is no  ^ 6
words that  ^ 6
is your  ^ 6
therefore, and  ^ 6
honor thy  ^ 6
if it please  ^ 6
the jews that  ^ 6
and said, if  ^ 6
pharaoh's heart,  ^ 6
moses, and said,  ^ 6
the face of the earth,  ^ 6
day there shall be  ^ 6
flowing with milk  ^ 6
with milk and honey,  ^ 6
and, behold, the glory  ^ 6
called the name  ^ 6
aaron, take  ^ 6
did so  ^ 6
the name of the place  ^ 6
moses' father-in-law,  ^ 6
and moses told  ^ 6
all the earth  ^ 6
of shittim wood:  ^ 6
the ark of the testimony,  ^ 6
rings of gold,  ^ 6
shall be of  ^ 6
branches of  ^ 6
two branches  ^ 6
of pure gold.  ^ 6
and blue, and purple,  ^ 6
under one  ^ 6
the hooks of the pillars  ^ 6
of the pillars and their fillets  ^ 6
in the tabernacle of the congregation  ^ 6
and upon the thumb  ^ 6
hand, and upon  ^ 6
and upon the great toe  ^ 6
of flour mingled  ^ 6
aaron and his sons,  ^ 6
the god of abraham,  ^ 6
and all his vessels,  ^ 6
went out unto  ^ 6
the name of the lord.  ^ 6
now i have found  ^ 6
let my people  ^ 6
them; as the lord  ^ 6
unto you, saying,  ^ 6
not one.  ^ 6
there upon  ^ 6
a sword upon  ^ 6
behold, therefore  ^ 6
that he hath committed,  ^ 6
that he hath done  ^ 6
the way of the lord  ^ 6
they say  ^ 6
came again unto  ^ 6
again unto me, saying,  ^ 6
the mountains of israel,  ^ 6
from that  ^ 6
a young bullock  ^ 6
year without blemish:  ^ 6
for the waters  ^ 6
side, a  ^ 6
by the sword, by the famine,  ^ 6
the temple of the lord,  ^ 6
twenty and three.  ^ 6
and four. the children  ^ 6
twenty and eight.  ^ 6
fifty and two.  ^ 6
of this house  ^ 6
the god of heaven,  ^ 6
from my  ^ 6
the book  ^ 6
till the  ^ 6
with her  ^ 6
as thyself.  ^ 6
and it was so.  ^ 6
and the evening and the morning  ^ 6
and the morning were  ^ 6
living creature  ^ 6
and they came unto  ^ 6
unto abram,  ^ 6
the whole land  ^ 6
dwelt among  ^ 6
which were with  ^ 6
unto jacob,  ^ 6
unto jacob  ^ 6
and bore a son;  ^ 6
and she conceived, and bore  ^ 6
every one that  ^ 6
and, behold, seven  ^ 6
from me,  ^ 6
lived a hundred  ^ 6
beast, and  ^ 6
of josedech, the high  ^ 6
speaketh the lord  ^ 6
the passover,  ^ 6
for verily  ^ 6
from the foundation  ^ 6
for where  ^ 6
behold, god  ^ 6
unto the end  ^ 6
all the day.  ^ 6
the throne of david,  ^ 6
naked, and  ^ 6
and doeth  ^ 6
know what  ^ 6
jeremiah unto  ^ 6
whither i have driven  ^ 6
by my name,  ^ 6
for i am  ^ 6
day and night  ^ 6
without an inhabitant.  ^ 6
nebuzaradan the captain  ^ 6
the captains of the forces  ^ 6
but go  ^ 6
answered the lord,  ^ 6
then job answered  ^ 6
he was in  ^ 6
cried, saying,  ^ 6
i saw the  ^ 6
unto him, follow  ^ 6
bear witness of  ^ 6
unto him.  ^ 6
that even  ^ 6
last day.  ^ 6
on him.  ^ 6
and spake  ^ 6
of galilee, and  ^ 6
life shall lose  ^ 6
it; and  ^ 6
judas iscariot,  ^ 6
me thrice.  ^ 6
father in  ^ 6
me before  ^ 6
of that  ^ 6
thy son  ^ 6
thou gavest me  ^ 6
the damsel  ^ 6
one of his  ^ 6
thou the  ^ 6
when he was  ^ 6
unto her, woman,  ^ 6
the sepulcher.  ^ 6
of his disciples,  ^ 6
about his  ^ 6
thy bed,  ^ 6
being in  ^ 6
shall come in  ^ 6
when jesus saw  ^ 6
into a mountain  ^ 6
into a ship,  ^ 6
of the sea,  ^ 6
bread. and  ^ 6
thy disciples  ^ 6
the woman,  ^ 6
and pharisees  ^ 6
of it. and  ^ 6
asked him  ^ 6
disciples asked  ^ 6
the son of jephunneh  ^ 6
commanded by the hand  ^ 6
and the border went up  ^ 6
her suburbs,   ^ 6
cities. and out of the tribe  ^ 6
about the  ^ 6
of israel cried  ^ 6
any unclean  ^ 6
unto aaron  ^ 6
shall pronounce him unclean: it  ^ 6
deeper than  ^ 6
without the camp  ^ 6
young pigeons,  ^ 6
for a sin offering, and the other  ^ 6
in that same  ^ 6
a holy convocation;  ^ 6
convocation; ye shall do  ^ 6
and he shall lay his hand  ^ 6
the fat that  ^ 6
at the bottom  ^ 6
of the beast,  ^ 6
from among the children  ^ 6
and he asked  ^ 6
it shall be more tolerable  ^ 6
and sidon,  ^ 6
lord of the  ^ 6
the way.  ^ 6
unto them, the  ^ 6
my house  ^ 6
thine eye  ^ 6
him. and,  ^ 6
after me,  ^ 6
saying unto them,  ^ 6
jesus called  ^ 6
mother. and  ^ 6
and followed  ^ 6
thou son of david,  ^ 6
to the law  ^ 6
the people:  ^ 6
he is not  ^ 6
coming in  ^ 6
to his disciples,  ^ 6
the root  ^ 6
what went ye out  ^ 6
elders and  ^ 6
whole world,  ^ 6
great. and  ^ 6
and cried  ^ 6
the wine  ^ 6
round about the  ^ 6
it might be fulfilled which was spoken  ^ 6
the mouth  ^ 6
gnashing of teeth.  ^ 6
earth: and  ^ 6
on their  ^ 6
unto them repaired  ^ 6
moses and against  ^ 6
to do the service  ^ 6
and the captain of the children  ^ 6
and balak said  ^ 6
of moab by  ^ 6
by jordan  ^ 6
and one goat  ^ 6
and their drink offerings for the bullocks,  ^ 6
for the bullocks, for the rams,  ^ 6
for the rams, and for the lambs,  ^ 6
and the prince of the tribe  ^ 6
of the families of the sons  ^ 6
having the  ^ 6
the righteousness  ^ 6
a psalm of asaph.  ^ 6
forever and ever. and  ^ 6
of the wrath  ^ 6
the smoke  ^ 6
and he that sat  ^ 6
four beasts  ^ 6
angel poured out  ^ 6
vial upon  ^ 6
when he had opened  ^ 6
he had opened the  ^ 6
angel sounded,  ^ 6
sounded, and  ^ 6
the angel that talked  ^ 6
he began  ^ 5
behold, we  ^ 5
according to the word of the lord  ^ 5
in the valley of rephaim.  ^ 5
went down to  ^ 5
ruler over  ^ 5
man of  ^ 5
jonathan the son  ^ 5
and of the children  ^ 5
saying, how  ^ 5
the city of david,  ^ 5
and all israel,  ^ 5
and david smote  ^ 5
moses commanded  ^ 5
bullocks and seven  ^ 5
with abraham,  ^ 5
sing unto the lord,  ^ 5
unto the lord, all  ^ 5
of the lord, because  ^ 5
shall be established  ^ 5
nations from before  ^ 5
thy people israel  ^ 5
and it came to pass the same  ^ 5
go and tell  ^ 5
thou shalt not  ^ 5
since the day  ^ 5
of israel, whom  ^ 5
to any  ^ 5
all thine enemies  ^ 5
no more;  ^ 5
thousand horsemen,  ^ 5
two and twenty  ^ 5
before israel,  ^ 5
talents of silver  ^ 5
thirty and two  ^ 5
cities. all  ^ 5
in the sight of the lord;  ^ 5
these were  ^ 5
all the sons  ^ 5
of israel, who  ^ 5
unto him, thus saith  ^ 5
of the lord stood  ^ 5
an altar unto the lord  ^ 5
then the angel of the lord  ^ 5
and king david  ^ 5
of god: for  ^ 5
prevailed against  ^ 5
this thing:  ^ 5
the sons of merari;  ^ 5
for david  ^ 5
the charge of the tabernacle  ^ 5
the work of the house  ^ 5
and abihu, eleazar,  ^ 5
eleazar, and ithamar.  ^ 5
according to the house of their fathers,  ^ 5
the treasures of the house  ^ 5
men of valor,  ^ 5
the lord had said  ^ 5
of the priests and the levites,  ^ 5
and said, hear  ^ 5
said, blessed  ^ 5
and the time that  ^ 5
and last, behold,  ^ 5
all the kingdoms  ^ 5
by the hand  ^ 5
of david, which  ^ 5
which were born  ^ 5
his son. and the sons  ^ 5
had two  ^ 5
of gilead, the son  ^ 5
two hundred and fifty  ^ 5
solomon built  ^ 5
judah and jerusalem  ^ 5
with her suburbs: and out of the tribe  ^ 5
of the children of benjamin,  ^ 5
of the children of judah,  ^ 5
of the children of simeon,  ^ 5
of the sons of kohath  ^ 5
and azariah the son  ^ 5
of meshullam, the son  ^ 5
the son of eleazar  ^ 5
time with  ^ 5
you; but  ^ 5
this i say,  ^ 5
that every one  ^ 5
lest any  ^ 5
the cross  ^ 5
the preaching  ^ 5
our lord,  ^ 5
after the flesh,  ^ 5
grace be unto you,  ^ 5
be unto you, and  ^ 5
righteousness, and  ^ 5
ye in  ^ 5
my god  ^ 5
coming of our  ^ 5
you unto  ^ 5
son jesus  ^ 5
wherefore, my  ^ 5
to eat and  ^ 5
one day  ^ 5
you; and  ^ 5
this do  ^ 5
and drinketh  ^ 5
the members  ^ 5
by one  ^ 5
they were all  ^ 5
body. and  ^ 5
no need  ^ 5
of the body,  ^ 5
face to  ^ 5
now i know  ^ 5
and none  ^ 5
unto me.  ^ 5
yet in  ^ 5
and other  ^ 5
two or  ^ 5
as also  ^ 5
brethren, if  ^ 5
the tongue  ^ 5
you that  ^ 5
shall the son  ^ 5
for some  ^ 5
resurrection of the  ^ 5
and there is  ^ 5
the image  ^ 5
flesh and  ^ 5
so do  ^ 5
the saints,  ^ 5
him with  ^ 5
in peace,  ^ 5
spirit and  ^ 5
salute you.  ^ 5
be with you.  ^ 5
me. now  ^ 5
man knoweth  ^ 5
which is of  ^ 5
the things of the  ^ 5
him? but  ^ 5
i was  ^ 5
not speak  ^ 5
as by  ^ 5
that ye are  ^ 5
temple of god,  ^ 5
faithful in  ^ 5
beloved son,  ^ 5
to you.  ^ 5
will, and  ^ 5
in love,  ^ 5
what will  ^ 5
the lord. therefore  ^ 5
us: and  ^ 5
the gentiles,  ^ 5
for us:  ^ 5
the old  ^ 5
not before  ^ 5
lord; and  ^ 5
one flesh.  ^ 5
without the  ^ 5
among you?  ^ 5
the lord:  ^ 5
us to  ^ 5
in the same  ^ 5
abide with  ^ 5
good for  ^ 5
seek not  ^ 5
power over  ^ 5
and through  ^ 5
in earth,  ^ 5
not ye  ^ 5
that i might gain  ^ 5
but one  ^ 5
apostles, and  ^ 5
from the beginning,  ^ 5
his word  ^ 5
in us.  ^ 5
as he  ^ 5
abideth in  ^ 5
because ye are  ^ 5
world. and  ^ 5
that they were  ^ 5
jesus is  ^ 5
the father:  ^ 5
from the beginning  ^ 5
before him  ^ 5
that he is  ^ 5
love of god  ^ 5
in darkness  ^ 5
this the  ^ 5
and slew  ^ 5
life for  ^ 5
love of god,  ^ 5
and seeth  ^ 5
that we are  ^ 5
him; for  ^ 5
if our  ^ 5
is greater  ^ 5
son of god  ^ 5
this commandment  ^ 5
god; and  ^ 5
god hath made  ^ 5
by this  ^ 5
and we know  ^ 5
eternal life.  ^ 5
the water,  ^ 5
shall sit upon  ^ 5
there with  ^ 5
of my lord the king  ^ 5
saying, behold  ^ 5
live forever.  ^ 5
king solomon.  ^ 5
heard of  ^ 5
and the king made  ^ 5
to one  ^ 5
blessed be  ^ 5
fled from  ^ 5
out of all the tribes  ^ 5
perfect with  ^ 5
in the city of david  ^ 5
people that  ^ 5
him, saying, thus  ^ 5
day, as  ^ 5
hearkened not  ^ 5
against the house  ^ 5
which brought  ^ 5
and said, how  ^ 5
and they spoke unto  ^ 5
before and he said  ^ 5
by the way that  ^ 5
and told him  ^ 5
there, nor  ^ 5
no bread  ^ 5
no bread,  ^ 5
shall not come  ^ 5
standing by  ^ 5
the word of the lord:  ^ 5
of the man of god,  ^ 5
of the lord. and the king  ^ 5
bread, nor  ^ 5
his name there.  ^ 5
high hill,  ^ 5
the lord cast out  ^ 5
cast out before  ^ 5
of the lord, and the treasures  ^ 5
and the treasures of the king's  ^ 5
in the city of david.  ^ 5
did that which was right  ^ 5
out of the land,  ^ 5
of israel went up  ^ 5
went up against  ^ 5
of the lord, and walked  ^ 5
and they buried him in the city  ^ 5
on his throne,  ^ 5
according to the word of the lord,  ^ 5
israel that  ^ 5
my people israel  ^ 5
that followed  ^ 5
israel in samaria  ^ 5
rain upon  ^ 5
heard the voice  ^ 5
and the woman said  ^ 5
saying, go,  ^ 5
hath not sent  ^ 5
thou sayest,  ^ 5
said, as the lord  ^ 5
the commandments of the lord,  ^ 5
thou art the lord  ^ 5
and the hand of the lord  ^ 5
unto him, go,  ^ 5
which hath not  ^ 5
in the law  ^ 5
abner the son  ^ 5
from the lord.  ^ 5
there shall not fail  ^ 5
that follow  ^ 5
ahab king  ^ 5
and he said, thus  ^ 5
and said, thus  ^ 5
of israel went  ^ 5
to his house  ^ 5
of ahab king  ^ 5
of the vineyard  ^ 5
because it  ^ 5
him, and said unto  ^ 5
of israel and jehoshaphat  ^ 5
the king of israel.  ^ 5
came down to  ^ 5
said, take  ^ 5
until i come  ^ 5
the high places were not  ^ 5
of jehoshaphat king  ^ 5
unto him, because  ^ 5
o my lord,  ^ 5
because there was no  ^ 5
to sit on  ^ 5
which thou hast chosen,  ^ 5
of all the children  ^ 5
of the earth, which  ^ 5
of the lord my god,  ^ 5
and said, blessed  ^ 5
above upon  ^ 5
the work that  ^ 5
and all these  ^ 5
the elders of israel,  ^ 5
of israel, and  ^ 5
not stand  ^ 5
and he said, blessed  ^ 5
of israel, as  ^ 5
of the land of egypt.  ^ 5
there is no god  ^ 5
the prayer of thy servant,  ^ 5
thou in  ^ 5
of thy people israel,  ^ 5
which thou hast given  ^ 5
of the earth may know  ^ 5
and do according to all  ^ 5
and pray unto  ^ 5
sheep and oxen,  ^ 5
the altar of the lord,  ^ 5
saying, blessed  ^ 5
in all his ways,  ^ 5
day and night,  ^ 5
on the eighth day  ^ 5
of the lord, and the king's  ^ 5
the cities which  ^ 5
to do according to all  ^ 5
which i have set  ^ 5
and serve other  ^ 5
hath the lord done  ^ 5
every one that passeth  ^ 5
of which  ^ 5
be ye  ^ 5
of jesus christ:  ^ 5
forever. and  ^ 5
by the power  ^ 5
through faith  ^ 5
to every  ^ 5
good and  ^ 5
christ also  ^ 5
found in  ^ 5
as sheep  ^ 5
the eyes  ^ 5
you, as  ^ 5
christ. for  ^ 5
into heaven,  ^ 5
for us  ^ 5
on this  ^ 5
of the gentiles,  ^ 5
my son.  ^ 5
and said, go  ^ 5
a son, and called  ^ 5
he shall be  ^ 5
am not i  ^ 5
all the tribes  ^ 5
that day.  ^ 5
day: for  ^ 5
came after  ^ 5
and the men of judah  ^ 5
were three  ^ 5
the lord, and serve  ^ 5
obey the voice  ^ 5
the lord will do  ^ 5
behold, the king  ^ 5
fear the lord,  ^ 5
the lord of  ^ 5
in this place.  ^ 5
of the people that  ^ 5
and jonathan said  ^ 5
and they came to  ^ 5
went up with  ^ 5
when they heard that  ^ 5
be the man that  ^ 5
were come into  ^ 5
saul, saying,  ^ 5
behold, the people  ^ 5
also: for  ^ 5
the lord sent  ^ 5
unto the lord thy god  ^ 5
the lord thy god.  ^ 5
that is over  ^ 5
servants said  ^ 5
that killeth  ^ 5
of the living god.  ^ 5
upon his head,  ^ 5
and the thing pleased  ^ 5
afraid of  ^ 5
of his father  ^ 5
unto the third  ^ 5
that evil  ^ 5
man with  ^ 5
and david arose,  ^ 5
david, and said,  ^ 5
yea, though  ^ 5
and the men that  ^ 5
shall not find  ^ 5
that place  ^ 5
how that the lord  ^ 5
be as  ^ 5
and he said to  ^ 5
words, saying,  ^ 5
not whence  ^ 5
and day,  ^ 5
the lord thy god;  ^ 5
the good that  ^ 5
them not, neither  ^ 5
on the top  ^ 5
other gods.  ^ 5
found grace  ^ 5
gathered together all  ^ 5
here and he said,  ^ 5
is the thing that  ^ 5
and the lord was  ^ 5
of the lord. and the lord  ^ 5
and the lord called  ^ 5
not a man  ^ 5
nor any  ^ 5
of all the people  ^ 5
heard the noise  ^ 5
into the camp.  ^ 5
cried out, saying,  ^ 5
the ark of the god  ^ 5
the ark of the lord.  ^ 5
offered burnt offerings  ^ 5
and to whom  ^ 5
to stand before  ^ 5
will not hear  ^ 5
unto the city  ^ 5
and when they were come  ^ 5
god the father  ^ 5
always for  ^ 5
the holy ghost,  ^ 5
from you  ^ 5
to speak unto  ^ 5
of god with  ^ 5
face, and  ^ 5
toward all  ^ 5
the joy  ^ 5
these words.  ^ 5
jesus. for  ^ 5
but unto  ^ 5
yourselves, and  ^ 5
day of the lord  ^ 5
we are not  ^ 5
paul, an apostle  ^ 5
into macedonia,  ^ 5
in all things.  ^ 5
unto thee  ^ 5
that thou mayest know  ^ 5
must be  ^ 5
mystery of the  ^ 5
all, that  ^ 5
day. but  ^ 5
that they may be  ^ 5
three days.  ^ 5
the law of the lord,  ^ 5
in the city of david:  ^ 5
the fenced cities  ^ 5
against the lord  ^ 5
azariah the son  ^ 5
of the kings of judah  ^ 5
the eyes of the lord  ^ 5
to him, saying,  ^ 5
standing on  ^ 5
the word of the lord;  ^ 5
take ye  ^ 5
for the house  ^ 5
against the inhabitants  ^ 5
therefore the name  ^ 5
of judah and jerusalem,  ^ 5
fought against  ^ 5
and cry unto  ^ 5
the inhabitants of jerusalem  ^ 5
of ahab: for  ^ 5
hazael king  ^ 5
into the house of the lord:  ^ 5
stood at  ^ 5
and all the princes  ^ 5
of the lord all  ^ 5
judah and jerusalem,  ^ 5
commanded, saying,  ^ 5
the son of amoz,  ^ 5
the kings of assyria  ^ 5
of israel; for  ^ 5
to hezekiah  ^ 5
of the lord our god,  ^ 5
cubits high,  ^ 5
the passover unto the lord  ^ 5
of david king  ^ 5
his face from  ^ 5
every man according to  ^ 5
isaiah the son  ^ 5
of the king of assyria.  ^ 5
the kings of judah  ^ 5
that was found in the house  ^ 5
and it came to pass, when the king  ^ 5
the king of judah,  ^ 5
the lord their god.  ^ 5
all this,  ^ 5
eleven years  ^ 5
year of cyrus  ^ 5
the kingdoms of the earth  ^ 5
of pure gold:  ^ 5
long, and five  ^ 5
as they  ^ 5
of the lord filled  ^ 5
unto the priests  ^ 5
neither was  ^ 5
us, that  ^ 5
by you  ^ 5
peace from  ^ 5
of the same  ^ 5
in god  ^ 5
but whom  ^ 5
the knowledge  ^ 5
jesus, whom  ^ 5
i ought  ^ 5
and wonders,  ^ 5
me to  ^ 5
him, but  ^ 5
as of  ^ 5
my joy  ^ 5
and where  ^ 5
the face  ^ 5
glory of his  ^ 5
light of the  ^ 5
but christ  ^ 5
of the glory  ^ 5
behold, now  ^ 5
i perceive that  ^ 5
of the grace  ^ 5
joy and  ^ 5
as touching the  ^ 5
the fruits  ^ 5
come with  ^ 5
also all  ^ 5
son of the  ^ 5
of the father,  ^ 5
i beseech thee,  ^ 5
and fell on  ^ 5
the son of rechab  ^ 5
departed not  ^ 5
which made  ^ 5
by the way of the gate  ^ 5
did according to all  ^ 5
his hands upon  ^ 5
abraham, isaac,  ^ 5
unto them, because  ^ 5
the sea of the plain,  ^ 5
be put to death for  ^ 5
of the law of moses,  ^ 5
he spoke unto  ^ 5
king of judah;  ^ 5
which was before  ^ 5
the king of assyria.  ^ 5
do this  ^ 5
of pharaoh king  ^ 5
was over the household,  ^ 5
the household, and shebna  ^ 5
now, behold,  ^ 5
saying, hear  ^ 5
hearken not  ^ 5
for unto  ^ 5
god of israel;  ^ 5
heaven and earth.  ^ 5
the work of men's  ^ 5
and the men of the city  ^ 5
the word of the lord.  ^ 5
the lord said,  ^ 5
against the king  ^ 5
against the city,  ^ 5
the lord had said.  ^ 5
in the tenth month,  ^ 5
in the tenth day of the month,  ^ 5
of the guard took  ^ 5
to the camp  ^ 5
to the man  ^ 5
for they knew  ^ 5
had heard that  ^ 5
and he answered, i  ^ 5
his hand, and took  ^ 5
hear ye the word  ^ 5
i am in  ^ 5
and glory,  ^ 5
that by  ^ 5
years, and  ^ 5
until even,  ^ 5
twelve thousand  ^ 5
unto joab,  ^ 5
unto him, and said  ^ 5
the rest of the people  ^ 5
have not i  ^ 5
there three  ^ 5
will be with  ^ 5
throughout all the tribes  ^ 5
mercy and truth  ^ 5
god, behold,  ^ 5
forty years,  ^ 5
of the house of saul,  ^ 5
son: for  ^ 5
though i  ^ 5
the priests, saying,  ^ 5
years old:  ^ 5
and, behold, all  ^ 5
the son of saul,  ^ 5
that lieth before  ^ 5
sheba the son  ^ 5
to jerusalem unto  ^ 5
he arose,  ^ 5
thou shalt not see  ^ 5
because god  ^ 5
and signs  ^ 5
you: and  ^ 5
the tradition  ^ 5
found the  ^ 5
of thee  ^ 5
but thou  ^ 5
for of  ^ 5
houses, and  ^ 5
me the  ^ 5
work, and  ^ 5
me from  ^ 5
and james,  ^ 5
philip, and  ^ 5
mary the  ^ 5
brethren. and  ^ 5
by the mouth  ^ 5
in jerusalem,  ^ 5
received him  ^ 5
him out of  ^ 5
 this  ^ 5
is lord  ^ 5
the dead. and  ^ 5
about the sixth  ^ 5
gave them  ^ 5
and glorified  ^ 5
and much  ^ 5
jerusalem unto  ^ 5
the disciples,  ^ 5
unto me, arise,  ^ 5
from him.  ^ 5
door of the  ^ 5
the soldiers,  ^ 5
no small  ^ 5
and herod  ^ 5
barnabas and  ^ 5
angel said  ^ 5
him, and said,  ^ 5
and said, o  ^ 5
fathers, and  ^ 5
years. and  ^ 5
at jerusalem,  ^ 5
who are  ^ 5
art my  ^ 5
have i begotten  ^ 5
that through  ^ 5
to hear the  ^ 5
the synagogues  ^ 5
it came to pass in  ^ 5
on thy  ^ 5
was the  ^ 5
gentiles, and  ^ 5
and wonders  ^ 5
with their  ^ 5
his mother's  ^ 5
and silas,  ^ 5
also. and  ^ 5
but paul  ^ 5
these men,  ^ 5
and at  ^ 5
the prison  ^ 5
which were in  ^ 5
unto him the  ^ 5
city. and  ^ 5
and they went  ^ 5
the scriptures  ^ 5
the sea:  ^ 5
from the dead;  ^ 5
among them.  ^ 5
in the way  ^ 5
from henceforth  ^ 5
the evil  ^ 5
out of that  ^ 5
and fear  ^ 5
and when he had thus  ^ 5
them; and  ^ 5
and in the  ^ 5
of judea, and  ^ 5
his voice,  ^ 5
the moon  ^ 5
jesus of nazareth,  ^ 5
he saith  ^ 5
unto my lord,  ^ 5
christ for  ^ 5
and had  ^ 5
that after  ^ 5
that these  ^ 5
the ship.  ^ 5
ship. and  ^ 5
both we,  ^ 5
after those  ^ 5
this that  ^ 5
said, the  ^ 5
also was  ^ 5
i will send  ^ 5
earth: for  ^ 5
and because  ^ 5
the feet  ^ 5
and they were  ^ 5
unto thee,  ^ 5
before thee  ^ 5
and returned to  ^ 5
many years  ^ 5
heard him  ^ 5
against him,  ^ 5
i said,  ^ 5
i am,  ^ 5
and could  ^ 5
land. and  ^ 5
by isaiah  ^ 5
isaiah the  ^ 5
the fire,  ^ 5
his hand,  ^ 5
of isaac, and  ^ 5
of them.  ^ 5
of the temple,  ^ 5
in any  ^ 5
them not  ^ 5
john answered  ^ 5
man was  ^ 5
unto thy servants,  ^ 5
number of the  ^ 5
were of  ^ 5
the midst,  ^ 5
the door,  ^ 5
door, and  ^ 5
the sepulcher  ^ 5
father abraham,  ^ 5
his brethren  ^ 5
they understood  ^ 5
of him. and  ^ 5
death. and  ^ 5
thee, because  ^ 5
and pray  ^ 5
that thou art  ^ 5
sitting in  ^ 5
and after that  ^ 5
that he had spoken  ^ 5
of jesus. and  ^ 5
god. thus  ^ 5
the lord. hear  ^ 5
of egypt, saying,  ^ 5
upon one  ^ 5
drink wine  ^ 5
not against  ^ 5
and it came to pass, that when  ^ 5
thou? and i said,  ^ 5
and eat the fruit  ^ 5
his blood,  ^ 5
holy and  ^ 5
mind, and  ^ 5
the commandments  ^ 5
not your  ^ 5
which are upon  ^ 5
of jehoiakim king  ^ 5
bread, neither  ^ 5
neither came  ^ 5
as i was  ^ 5
unto heaven,  ^ 5
the man clothed  ^ 5
to destroy all  ^ 5
the king answered  ^ 5
if ye will not  ^ 5
the king made  ^ 5
fiery furnace.  ^ 5
the golden image  ^ 5
that nebuchadnezzar  ^ 5
nations, and languages,  ^ 5
the beasts of the field,  ^ 5
hear, nor  ^ 5
the face of the whole  ^ 5
with a mighty hand,  ^ 5
jeremiah the prophet,  ^ 5
saying, surely  ^ 5
and og the king  ^ 5
tables of stone  ^ 5
no part  ^ 5
part nor inheritance  ^ 5
nor inheritance with  ^ 5
the land, whither  ^ 5
ye go  ^ 5
the good land  ^ 5
out of the way  ^ 5
have seen all  ^ 5
thy god hath chosen  ^ 5
unto the lord thy god:  ^ 5
thy god hath blessed  ^ 5
of egypt, from the house  ^ 5
thy god hath given  ^ 5
of that city  ^ 5
all his commandments  ^ 5
or that  ^ 5
the nations that  ^ 5
unto the lord thy god.  ^ 5
thy god. thou shalt not  ^ 5
to place his name  ^ 5
therefore i  ^ 5
that thou wast  ^ 5
no work  ^ 5
or any  ^ 5
and this shall be  ^ 5
a false witness  ^ 5
three cities  ^ 5
thy god hath commanded  ^ 5
enter into the congregation  ^ 5
that is among  ^ 5
thine heart, and with all  ^ 5
with milk and honey;  ^ 5
and thou shalt not  ^ 5
gods to serve  ^ 5
the lord shall bring  ^ 5
whither the lord  ^ 5
in the land of egypt;  ^ 5
of this covenant,  ^ 5
in the tabernacle of the congregation.  ^ 5
moses, behold,  ^ 5
my covenant which  ^ 5
hath said unto  ^ 5
them into the land  ^ 5
which bore the ark  ^ 5
kings of the amorites,  ^ 5
of canaan, which  ^ 5
which is in the land  ^ 5
god created  ^ 5
out of heaven  ^ 5
whom moses  ^ 5
of og king  ^ 5
the bank of the river  ^ 5
mount zion,  ^ 5
of the lord our god  ^ 5
am the lord thy god,  ^ 5
the iniquity of the fathers  ^ 5
shall be in  ^ 5
the oath which  ^ 5
spoke with  ^ 5
what profit  ^ 5
who gave  ^ 5
even that which  ^ 5
who knoweth  ^ 5
that is done  ^ 5
say not  ^ 5
riches of his  ^ 5
the cross,  ^ 5
the lusts  ^ 5
himself for  ^ 5
for because  ^ 5
do the  ^ 5
did according to the word  ^ 5
month, which  ^ 5
what it  ^ 5
the banquet that  ^ 5
the king delighteth  ^ 5
also unto  ^ 5
because of the children  ^ 5
every herb  ^ 5
over the land  ^ 5
with and moses  ^ 5
came in unto  ^ 5
and all the firstborn  ^ 5
the firstborn in the land  ^ 5
to the land  ^ 5
day, that the lord  ^ 5
the land of the canaanites,  ^ 5
and i, behold,  ^ 5
and moses did  ^ 5
stand by  ^ 5
and god spoke  ^ 5
thereof, and a cubit and a half  ^ 5
of gold round about.  ^ 5
it with pure gold,  ^ 5
the other side  ^ 5
the two ends  ^ 5
the staves of shittim  ^ 5
skins dyed red,  ^ 5
and two sockets  ^ 5
under another  ^ 5
two sockets  ^ 5
side of the tabernacle,  ^ 5
