Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
years reigned he in hebron, and thirty and three  ^ 2
seven years and six months: and in jerusalem  ^ 2
years and six months: and in jerusalem he reigned  ^ 2
and six months: and in jerusalem he reigned thirty  ^ 2
months: and in jerusalem he reigned thirty and three  ^ 2
and dwelt there unto this day.  ^ 2
begot amariah, and amariah begot ahitub,  ^ 2
amariah, and amariah begot ahitub, and ahitub  ^ 2
and amariah begot ahitub, and ahitub begot  ^ 2
begot ahitub, and ahitub begot zadok,  ^ 2
ahitub, and ahitub begot zadok, and zadok  ^ 2
and ahitub begot zadok, and zadok begot  ^ 2
of levi; gershon, kohath, and merari. and the sons  ^ 2
the son of izhar, the son of kohath, the son  ^ 2
of izhar, the son of kohath, the son of levi,  ^ 2
of issachar, and out of the tribe of asher, and out of the tribe of naphtali,  ^ 2
of reuben, and out of the tribe of gad, and out of the tribe of zebulun,  ^ 2
and out of the tribe of gad, and out of the tribe of zebulun, twelve  ^ 2
of gad, and out of the tribe of zebulun, twelve cities.  ^ 2
and out of the tribe of zebulun, twelve cities. and the children  ^ 2
of zebulun, twelve cities. and the children of israel  ^ 2
twelve cities. and the children of israel gave  ^ 2
out of the tribe of the children of judah, and out of the tribe of the children  ^ 2
of the children of judah, and out of the tribe of the children of simeon,  ^ 2
whose wife's name was maachah: and his firstborn son  ^ 2
name was maachah: and his firstborn son abdon,  ^ 2
and saul begot jonathan, and malchi-shua, and abinadab,  ^ 2
begot jonathan, and malchi-shua, and abinadab, and esh-baal.  ^ 2
jonathan, and malchi-shua, and abinadab, and esh-baal. and the son  ^ 2
and malchi-shua, and abinadab, and esh-baal. and the son of jonathan  ^ 2
and merib-baal begot micah. and the sons of micah  ^ 2
begot micah. and the sons of micah were , pithon,  ^ 2
micah. and the sons of micah were , pithon, and melech,  ^ 2
alemeth, and azmaveth, and zimri; and zimri begot  ^ 2
begot alemeth, and azmaveth, and zimri; and zimri  ^ 2
azrikam, bocheru, and ishmael, and sheariah, and obadiah,  ^ 2
and azel had six sons, whose names are these,  ^ 2
had six sons, whose names are these, azrikam,  ^ 2
sons, whose names are these, azrikam, bocheru,  ^ 2
whose names are these, azrikam, bocheru, and ishmael,  ^ 2
are these, azrikam, bocheru, and ishmael, and sheariah,  ^ 2
the son of zadok, the son of meraioth, the son  ^ 2
of zadok, the son of meraioth, the son of ahitub,  ^ 2
the son of hilkiah, the son of meshullam, the son  ^ 2
of hilkiah, the son of meshullam, the son of zadok,  ^ 2
the son of meshullam, the son of zadok, the son  ^ 2
of meshullam, the son of zadok, the son of meraioth,  ^ 2
of benjamin; sallu the son of meshullam, the son  ^ 2
name of our lord jesus christ,  ^ 2
saith, i am of paul; and  ^ 2
our brother, unto the church of god which is  ^ 2
unto the church of god which is at  ^ 2
church of god which is at corinth,  ^ 2
and from the lord jesus christ. i thank  ^ 2
from the lord jesus christ. i thank my  ^ 2
jesus christ. i thank my god  ^ 2
of our lord jesus christ: who  ^ 2
are not expedient: all things are lawful for me, but  ^ 2
all things are lawful for me, but all things  ^ 2
but all things are not expedient: all things are lawful  ^ 2
all things are not expedient: all things are lawful for me,  ^ 2
for conscience sake: for the earth is the  ^ 2
the earth is the lord's, and  ^ 2
earth is the lord's, and the  ^ 2
is the lord's, and the fullness  ^ 2
for you: this do in  ^ 2
you: this do in remembrance  ^ 2
this do in remembrance of me.  ^ 2
the new testament in my  ^ 2
i am not of the body;  ^ 2
not of the body; is  ^ 2
of the body; is it  ^ 2
the body; is it therefore  ^ 2
body; is it therefore not  ^ 2
is it therefore not of  ^ 2
it therefore not of the  ^ 2
therefore not of the body?  ^ 2
in the day of the lord  ^ 2
the day of the lord jesus.  ^ 2
a little leaven leaveneth the whole  ^ 2
name of the lord jesus, and  ^ 2
and eateth not of the  ^ 2
that your joy may be full.  ^ 2
and in him is no  ^ 2
and the truth is not  ^ 2
the truth is not in  ^ 2
unto you, fathers, because ye have known him  ^ 2
fathers, because ye have known him that is from  ^ 2
because ye have known him that is from the beginning.  ^ 2
the father and the son.  ^ 2
dwelleth in him, and he  ^ 2
that jesus is the son  ^ 2
that jesus christ is come in the flesh  ^ 2
christ is come in the flesh is  ^ 2
not that jesus christ is come in  ^ 2
the world, and the world  ^ 2
on the name of the son  ^ 2
son of god. and this is  ^ 2
of god. and this is the  ^ 2
saying, assuredly solomon thy son shall reign  ^ 2
assuredly solomon thy son shall reign after  ^ 2
after me, and he shall sit upon my throne?  ^ 2
oxen and fat cattle and sheep in abundance, and hath called  ^ 2
and fat cattle and sheep in abundance, and hath called all  ^ 2
on the throne of my lord the king after  ^ 2
and nathan the prophet, and benaiah the son of jehoiada,  ^ 2
the prophet, and benaiah the son of jehoiada, and the cherethites,  ^ 2
and benaiah the son of jehoiada, and the cherethites, and the pelethites,  ^ 2
king solomon. and when the queen of sheba heard  ^ 2
judgment and justice. and she gave the king a hundred  ^ 2
and justice. and she gave the king a hundred and twenty  ^ 2
and she gave the king a hundred and twenty talents  ^ 2
the king a hundred and twenty talents of gold,  ^ 2
a hundred and twenty talents of gold, and of spices  ^ 2
all her desire, whatsoever she asked, beside  ^ 2
her desire, whatsoever she asked, beside that which  ^ 2
of sheba all her desire, whatsoever she asked,  ^ 2
in one year was six hundred  ^ 2
she and her servants. now the weight of gold that  ^ 2
and her servants. now the weight of gold that came  ^ 2
now the weight of gold that came to solomon  ^ 2
of gold that came to solomon in one  ^ 2
that came to solomon in one year  ^ 2
came to solomon in one year was  ^ 2
to solomon in one year was six  ^ 2
hundred shekels of gold went to one  ^ 2
and king solomon made two hundred targets  ^ 2
solomon made two hundred targets of beaten  ^ 2
made two hundred targets of beaten gold:  ^ 2
two hundred targets of beaten gold: six  ^ 2
targets of beaten gold: six hundred  ^ 2
and the king put them in the house of the forest of lebanon.  ^ 2
put them in the house of the forest of lebanon. moreover the king  ^ 2
them in the house of the forest of lebanon. moreover the king made  ^ 2
of the forest of lebanon. moreover the king made a great  ^ 2
of lebanon. moreover the king made a great throne  ^ 2
moreover the king made a great throne of ivory,  ^ 2
made a great throne of ivory, and overlaid  ^ 2
and precious stones: and when she was come to solomon,  ^ 2
stones: and when she was come to solomon, she communed  ^ 2
and when she was come to solomon, she communed with  ^ 2
solomon, she communed with him of all  ^ 2
she communed with him of all that  ^ 2
with him of all that was  ^ 2
him of all that was in  ^ 2
there was not the like made in any kingdom.  ^ 2
there on the one side and on the other upon the six  ^ 2
the like made in any kingdom. and all  ^ 2
were of gold, and all the vessels of the house of the forest  ^ 2
and all the vessels of the house of the forest of lebanon  ^ 2
the vessels of the house of the forest of lebanon were of pure  ^ 2
bringing gold, and silver, ivory, and apes,  ^ 2
gold, and silver, ivory, and apes, and peacocks.  ^ 2
and spices, horses, and mules, a rate year  ^ 2
horses, and mules, a rate year by year.  ^ 2
god had put in his heart. and they brought  ^ 2
had put in his heart. and they brought every man  ^ 2
in his heart. and they brought every man his present,  ^ 2
and they brought every man his present, vessels  ^ 2
brought every man his present, vessels of silver,  ^ 2
every man his present, vessels of silver, and vessels  ^ 2
his present, vessels of silver, and vessels of gold,  ^ 2
and mules, a rate year by year. and solomon  ^ 2
a thousand and four hundred chariots, and twelve  ^ 2
and four hundred chariots, and twelve thousand  ^ 2
hundred chariots, and twelve thousand horsemen,  ^ 2
chariots and horsemen: and he had a thousand and four  ^ 2
and horsemen: and he had a thousand and four hundred  ^ 2
and he had a thousand and four hundred chariots,  ^ 2
and with the king at jerusalem. and the king made  ^ 2
the king at jerusalem. and the king made silver  ^ 2
the king's merchants received the linen yarn at a price.  ^ 2
for abundance. and solomon had horses brought out of egypt,  ^ 2
and solomon had horses brought out of egypt, and linen yarn:  ^ 2
had horses brought out of egypt, and linen yarn: the king's  ^ 2
brought out of egypt, and linen yarn: the king's merchants  ^ 2
and linen yarn: the king's merchants received the linen yarn  ^ 2
hundred shekels of silver, and a horse for a hundred and fifty:  ^ 2
shekels of silver, and a horse for a hundred and fifty: and so  ^ 2
for six hundred shekels of silver, and a horse for a hundred  ^ 2
that was in her heart. and solomon  ^ 2
was in her heart. and solomon told  ^ 2
in her heart. and solomon told her  ^ 2
her heart. and solomon told her all  ^ 2
and solomon told her all her questions:  ^ 2
which he told her not. and when the queen of sheba  ^ 2
he told her not. and when the queen of sheba had seen  ^ 2
of the lord; there was no more spirit  ^ 2
and the house that he had built, and the meat of his table,  ^ 2
that he had built, and the meat of his table, and the sitting  ^ 2
he had built, and the meat of his table, and the sitting of his servants,  ^ 2
and the meat of his table, and the sitting of his servants, and the attendance  ^ 2
of his table, and the sitting of his servants, and the attendance of his ministers,  ^ 2
there was no more spirit and she said  ^ 2
no more spirit and she said to  ^ 2
more spirit and she said to the king,  ^ 2
until i came, and mine eyes had seen it : and, behold,  ^ 2
are these thy servants, which stand continually before  ^ 2
thy wisdom. blessed be the lord thy god,  ^ 2
blessed be the lord thy god, which  ^ 2
be the lord thy god, which delighted  ^ 2
for thus saith the lord, the god  ^ 2
was not perfect with the lord  ^ 2
not perfect with the lord his god,  ^ 2
reigned in jerusalem over all israel  ^ 2
in the city of david his father: and rehoboam his son  ^ 2
of david his father: and rehoboam his son reigned  ^ 2
his father: and rehoboam his son reigned in his stead.  ^ 2
years. and solomon slept with his fathers,  ^ 2
and rehoboam his son reigned in his stead. and rehoboam  ^ 2
his son reigned in his stead. and rehoboam went  ^ 2
reigned in his stead. and rehoboam went to shechem:  ^ 2
in his stead. and rehoboam went to shechem: for  ^ 2
that spoke unto thee, saying, thy father  ^ 2
us; thus shalt thou say unto them, my little finger shall be thicker  ^ 2
shalt thou say unto them, my little finger shall be thicker than my father's  ^ 2
unto them, my little finger shall be thicker than my father's loins.  ^ 2
with him spoke unto him, saying, thus  ^ 2
so jeroboam and all the people came to  ^ 2
and all the people came to rehoboam  ^ 2
answered the king, saying, what portion  ^ 2
the king, saying, what portion have we in david?  ^ 2
in the cities of judah, rehoboam reigned over  ^ 2
of judah, rehoboam reigned over then king  ^ 2
rehoboam made speed to get him up to his chariot, to flee  ^ 2
made speed to get him up to his chariot, to flee to jerusalem.  ^ 2
rehoboam reigned over then king rehoboam  ^ 2
reigned over then king rehoboam sent  ^ 2
rebelled against the house of david unto this  ^ 2
against the house of david unto this day.  ^ 2
to make him king. and it came to pass, when jeroboam the son of nebat,  ^ 2
and it came to pass, when jeroboam the son of nebat, who  ^ 2
shemaiah the man of god, saying, speak  ^ 2
the man of god, saying, speak unto  ^ 2
saying, thus saith the lord, ye shall not  ^ 2
thus saith the lord, ye shall not go up,  ^ 2
saith the lord, ye shall not go up, nor  ^ 2
the lord, ye shall not go up, nor fight  ^ 2
ye shall not go up, nor fight against  ^ 2
o israel, which brought thee up out of the land of egypt.  ^ 2
rehoboam, saying, thy father made our yoke  ^ 2
saying, thy father made our yoke grievous:  ^ 2
thy father made our yoke grievous: now  ^ 2
people? and they spoke unto him, saying, if  ^ 2
will i eat bread nor drink water  ^ 2
him that pisseth against the wall, and him that is shut up and left in israel,  ^ 2
and one years old when he began to reign, and he reigned  ^ 2
years old when he began to reign, and he reigned seventeen  ^ 2
old when he began to reign, and he reigned seventeen years  ^ 2
when he began to reign, and he reigned seventeen years in jerusalem,  ^ 2
and he reigned seventeen years in jerusalem, the city  ^ 2
seventeen years in jerusalem, the city which  ^ 2
years in jerusalem, the city which the lord  ^ 2
out of all the tribes of israel, to put his name  ^ 2
the tribes of israel, to put his name there.  ^ 2
of israel, to put his name there. and his mother's  ^ 2
to put his name there. and his mother's name  ^ 2
his name there. and his mother's name was naamah  ^ 2
there. and his mother's name was naamah an ammonitess.  ^ 2
every high hill, and under every  ^ 2
high hill, and under every green  ^ 2
of the house of the lord, and the treasures of the king's house;  ^ 2
the book of the chronicles of the kings of judah? and there was  ^ 2
of the chronicles of the kings of judah? and there was war  ^ 2
of the kings of judah? and there was war between  ^ 2
and there was war between rehoboam and jeroboam  ^ 2
war between rehoboam and jeroboam all  ^ 2
and rehoboam slept with his fathers, and was buried  ^ 2
and was buried with his fathers in the city of david.  ^ 2
his son reigned in his stead. now in the eighteenth year  ^ 2
reigned in his stead. now in the eighteenth year of king  ^ 2
in his stead. now in the eighteenth year of king jeroboam  ^ 2
and his mother's name was maachah, the daughter of abishalom.  ^ 2
reigned he in jerusalem. and his mother's name was maachah,  ^ 2
he in jerusalem. and his mother's name was maachah, the daughter  ^ 2
and there was war between asa and baasha  ^ 2
war between asa and baasha king  ^ 2
between asa and baasha king of israel  ^ 2
asa and baasha king of israel all  ^ 2
and baasha king of israel all their days.  ^ 2
or come in to asa king of judah. then asa  ^ 2
of the house of the lord, and the treasures of the king's house,  ^ 2
king of syria, that dwelt at damascus, saying,  ^ 2
of syria, that dwelt at damascus, saying, there is a league  ^ 2
thy league with baasha king of israel,  ^ 2
with baasha king of israel, that he may depart  ^ 2
baasha king of israel, that he may depart from  ^ 2
that dwelt at damascus, saying, there is a league between  ^ 2
hearkened unto king asa, and sent  ^ 2
unto king asa, and sent the captains  ^ 2
the stones of ramah, and the timber thereof, wherewith baasha  ^ 2
he built, are they not written in  ^ 2
year of asa king of judah, and reigned  ^ 2
in the sight of the lord, and walked in the way of his father,  ^ 2
of the lord, which he spoke by his servant  ^ 2
him in the city of david: and asa his son reigned  ^ 2
of david: and asa his son reigned in his stead.  ^ 2
and they buried him in the city of david: and asa his son  ^ 2
the lord god of israel to anger with their vanities. now the rest  ^ 2
god of israel to anger with their vanities. now the rest of the acts  ^ 2
according to the word of the lord, which he spoke by  ^ 2
and his might, are they not written in  ^ 2
he did, and his might, are they not written  ^ 2
and the word of the lord came unto him, saying,  ^ 2
unto the lord, and said, o lord my god,  ^ 2
by the brook cherith, that is before jordan.  ^ 2
and now thou sayest, go, tell  ^ 2
thou sayest, go, tell thy lord,  ^ 2
sayest, go, tell thy lord, behold,  ^ 2
go, tell thy lord, behold, elijah  ^ 2
said, as the lord of hosts liveth, before  ^ 2
as the lord of hosts liveth, before whom  ^ 2
of hosts liveth, before whom i stand,  ^ 2
and lay it on wood, and put no  ^ 2
it on wood, and put no fire  ^ 2
may know that thou art the lord god,  ^ 2
the children of israel have forsaken thy covenant, thrown down  ^ 2
of israel have forsaken thy covenant, thrown down thine altars,  ^ 2
have forsaken thy covenant, thrown down thine altars, and slain  ^ 2
thy covenant, thrown down thine altars, and slain thy prophets  ^ 2
thrown down thine altars, and slain thy prophets with the sword;  ^ 2
thine altars, and slain thy prophets with the sword; and i,  ^ 2
and slain thy prophets with the sword; and i, even i only,  ^ 2
thy prophets with the sword; and i, even i only, am left;  ^ 2
with the sword; and i, even i only, am left; and they seek  ^ 2
and i, even i only, am left; and they seek my life,  ^ 2
even i only, am left; and they seek my life, to take it away.  ^ 2
doest thou here, elijah? and he said, i have been very jealous for the lord  ^ 2
elijah? and he said, i have been very jealous for the lord god  ^ 2
and he said, i have been very jealous for the lord god of hosts:  ^ 2
god do so to me, and more also,  ^ 2
do so to me, and more also, if  ^ 2
and the king sent and called for shimei, and said  ^ 2
and he said unto him, thus saith the lord,  ^ 2
and the word of the lord came to elijah  ^ 2
of the lord came to elijah the tishbite,  ^ 2
came to elijah the tishbite, saying,  ^ 2
and thou shalt speak unto him, saying, thus saith  ^ 2
unto him, saying, thus saith the lord,  ^ 2
from ahab him that pisseth against the wall, and him that is shut up and left  ^ 2
like the house of jeroboam the son of nebat, and like the house  ^ 2
of jeroboam the son of nebat, and like the house of baasha  ^ 2
the son of nebat, and like the house of baasha the son  ^ 2
whom the lord cast out before the children  ^ 2
of the gate of samaria; and all the prophets prophesied  ^ 2
of samaria; and all the prophets prophesied before  ^ 2
and all the prophets prophesied before and zedekiah  ^ 2
the prophets prophesied before and zedekiah the son  ^ 2
prophesied before and zedekiah the son of chenaanah  ^ 2
go up to ramoth-gilead, and prosper: for the lord shall deliver  ^ 2
and all the prophets prophesied so, saying,  ^ 2
the prophets prophesied so, saying, go up  ^ 2
prophesied so, saying, go up to ramoth-gilead,  ^ 2
so, saying, go up to ramoth-gilead, and prosper:  ^ 2
saying, go up to ramoth-gilead, and prosper: for the lord  ^ 2
and prosper: for the lord shall deliver it into the hand of the king.  ^ 2
to his house in peace. and the king of israel said  ^ 2
his throne, and all the host of heaven standing  ^ 2
a spirit, and stood before the lord, and said,  ^ 2
and stood before the lord, and said, i  ^ 2
a lying spirit in the mouth of all his prophets.  ^ 2
now therefore, behold, the lord hath put a lying  ^ 2
therefore, behold, the lord hath put a lying spirit  ^ 2
the lord hath put a lying spirit in the mouth  ^ 2
the cheek, and said, which way went  ^ 2
and said, which way went the spirit  ^ 2
which way went the spirit of the lord  ^ 2
way went the spirit of the lord from  ^ 2
went the spirit of the lord from me to speak  ^ 2
the spirit of the lord from me to speak unto  ^ 2
of the lord from me to speak unto and micaiah  ^ 2
from me to speak unto and micaiah said,  ^ 2
me to speak unto and micaiah said, behold,  ^ 2
unto and micaiah said, behold, thou shalt see  ^ 2
amon the governor of the city, and to joash  ^ 2
the governor of the city, and to joash the king's  ^ 2
of the city, and to joash the king's son;  ^ 2
and to joash the king's son; and say,  ^ 2
this fellow in the prison, and feed him with bread of affliction  ^ 2
fellow in the prison, and feed him with bread of affliction and with water  ^ 2
and feed him with bread of affliction and with water of affliction,  ^ 2
him with bread of affliction and with water of affliction, until  ^ 2
joash the king's son; and say, thus  ^ 2
the king's son; and say, thus saith  ^ 2
son; and say, thus saith the king,  ^ 2
and say, thus saith the king, put  ^ 2
thus saith the king, put this  ^ 2
saith the king, put this fellow in the prison,  ^ 2
the king, put this fellow in the prison, and feed  ^ 2
put this fellow in the prison, and feed him with bread  ^ 2
so the king of israel and jehoshaphat the king of judah  ^ 2
of israel and jehoshaphat the king of judah went up  ^ 2
of israel said unto jehoshaphat, i will disguise myself,  ^ 2
save only with the king of israel.  ^ 2
only with the king of israel. and it came to pass,  ^ 2
with the king of israel. and it came to pass, when the captains  ^ 2
the king of israel. and it came to pass, when the captains of the chariots  ^ 2
of israel. and it came to pass, when the captains of the chariots saw  ^ 2
and it came to pass, when the captains of the chariots saw jehoshaphat,  ^ 2
when the captains of the chariots saw jehoshaphat, that they  ^ 2
of the chariots saw jehoshaphat, that they said,  ^ 2
of the chariots perceived that it was not  ^ 2
perceived that it was not the king  ^ 2
that it was not the king of israel,  ^ 2
the king of israel between the joints of the harness:  ^ 2
from pursuing and a certain man drew a bow at a venture,  ^ 2
and a certain man drew a bow at a venture, and smote  ^ 2
drew a bow at a venture, and smote the king  ^ 2
a bow at a venture, and smote the king of israel  ^ 2
at a venture, and smote the king of israel between  ^ 2
and smote the king of israel between the joints  ^ 2
of the host; for i am wounded. and the battle  ^ 2
the host; for i am wounded. and the battle increased  ^ 2
for i am wounded. and the battle increased that  ^ 2
i am wounded. and the battle increased that day:  ^ 2
and he reigned twenty and five years in jerusalem.  ^ 2
twenty and five years in jerusalem. and his mother's  ^ 2
years in jerusalem. and his mother's name was azubah  ^ 2
in jerusalem. and his mother's name was azubah the daughter  ^ 2
and his mother's name was azubah the daughter of shilhi.  ^ 2
and five years old when he began to reign; and he reigned  ^ 2
name was azubah the daughter of shilhi. and he walked  ^ 2
inquire, i pray thee, at the word of the lord  ^ 2
i pray thee, at the word of the lord today.  ^ 2
and jehoshaphat said unto the king of israel,  ^ 2
said unto the king of israel, inquire,  ^ 2
unto the king of israel, inquire, i pray thee,  ^ 2
the king of israel, inquire, i pray thee, at  ^ 2
of israel, inquire, i pray thee, at the word  ^ 2
year of jehoshaphat king of judah, and reigned  ^ 2
the son of ahab began to reign over israel  ^ 2
of ahab began to reign over israel in samaria  ^ 2
ramoth-gilead to battle, or shall i forbear? and they said,  ^ 2
to battle, or shall i forbear? and they said, go up;  ^ 2
said, is there not here a prophet of the lord  ^ 2
is there not here a prophet of the lord besides,  ^ 2
here a prophet of the lord besides, that we might inquire  ^ 2
by whom we may inquire of the lord: but i  ^ 2
of the lord: but i hate him; for  ^ 2
and jehoshaphat said, let not the king say  ^ 2
said, let not the king say so.  ^ 2
of israel said unto jehoshaphat, there is yet  ^ 2
said unto jehoshaphat, there is yet one  ^ 2
unto jehoshaphat, there is yet one man,  ^ 2
give her the living child, and in no  ^ 2
her the living child, and in no wise slay  ^ 2
after the children of israel were come out of the land of egypt,  ^ 2
year after the children of israel were come out of the land  ^ 2
of thirty cubits did compass it round about. and under  ^ 2
looking toward the north, and three looking toward the west,  ^ 2
toward the north, and three looking toward the west, and three  ^ 2
and three looking toward the west, and three looking  ^ 2
looking toward the west, and three looking toward the south,  ^ 2
toward the west, and three looking toward the south, and three  ^ 2
and three looking toward the south, and three looking  ^ 2
looking toward the south, and three looking toward the east:  ^ 2
toward the south, and three looking toward the east: and the sea  ^ 2
and three looking toward the east: and the sea was set above  ^ 2
looking toward the east: and the sea was set above upon  ^ 2
toward the east: and the sea was set above upon them, and all  ^ 2
and the sea was set above upon them, and all their hinder parts  ^ 2
was set above upon them, and all their hinder parts were inward.  ^ 2
when it was cast. it stood upon twelve oxen,  ^ 2
it stood upon twelve oxen, three  ^ 2
upon twelve oxen, three looking  ^ 2
twelve oxen, three looking toward the north,  ^ 2
oxen, three looking toward the north, and three  ^ 2
three looking toward the north, and three looking  ^ 2
and light was against light in three ranks.  ^ 2
the top of the pillars; and four hundred pomegranates  ^ 2
brass. in the plain of jordan did the king cast  ^ 2
in the plain of jordan did the king cast them, in the clay  ^ 2
of jordan did the king cast them, in the clay ground  ^ 2
did the king cast them, in the clay ground between  ^ 2
cast them, in the clay ground between succoth  ^ 2
and solomon made all the vessels that  ^ 2
the heads of the tribes, the chief of the fathers of the children  ^ 2
of the tribes, the chief of the fathers of the children of israel,  ^ 2
the chief of the fathers of the children of israel, unto  ^ 2
the ark of the covenant of the lord out of the city of david,  ^ 2
of the covenant of the lord out of the city of david, which  ^ 2
of the lord out of the city of david, which is zion.  ^ 2
then solomon assembled the elders of israel,  ^ 2
of egypt. and it came to pass, when the priests were come out of  ^ 2
and it came to pass, when the priests were come out of the holy  ^ 2
for the glory of the lord had filled the house  ^ 2
so that the priests could not stand to minister  ^ 2
and he said, blessed be the lord god of israel,  ^ 2
david to be over my people israel.  ^ 2
since the day that i brought forth my people  ^ 2
to build a house for the name of the lord god  ^ 2
in the heart of david my father to build  ^ 2
the heart of david my father to build a house  ^ 2
of david my father to build a house for the name  ^ 2
my father to build a house for the name of the lord  ^ 2
thou shalt not build the house; but  ^ 2
shalt not build the house; but thy son  ^ 2
on the throne of israel, as the lord  ^ 2
the throne of israel, as the lord promised,  ^ 2
of israel, as the lord promised, and have built  ^ 2
in the presence of all the congregation of israel, and spread forth  ^ 2
before the altar of the lord in the presence of all  ^ 2
the altar of the lord in the presence of all the congregation  ^ 2
of the lord in the presence of all the congregation of israel,  ^ 2
with thy servant david my father that thou promisedst  ^ 2
him, saying, there shall not fail thee a man in my sight  ^ 2
there shall not fail thee a man in my sight to sit  ^ 2
god of israel, keep with thy servant david  ^ 2
of israel, keep with thy servant david my father  ^ 2
the heaven and heaven of heavens cannot contain  ^ 2
of heavens cannot contain thee; how much less this  ^ 2
cannot contain thee; how much less this house  ^ 2
his supplication, o lord my god, to hearken unto  ^ 2
o lord my god, to hearken unto the cry  ^ 2
the prayer of thy servant, and to his supplication, o lord  ^ 2
of thy servant, and to his supplication, o lord my god,  ^ 2
and to his supplication, o lord my god, to hearken  ^ 2
and the oath come before thine altar in this  ^ 2
of thy people israel, and bring them again unto the land  ^ 2
israel, and bring them again unto the land which  ^ 2
and bring them again unto the land which thou gavest  ^ 2
then hear thou in heaven, and forgive the sin  ^ 2
and forgive the sin of thy people israel, and bring them again  ^ 2
the sin of thy people israel, and bring them again unto  ^ 2
toward this place, and confess thy name,  ^ 2
this place, and confess thy name, and turn  ^ 2
place, and confess thy name, and turn from their sin,  ^ 2
and confess thy name, and turn from their sin, when  ^ 2
is shut up, and there is no rain, because  ^ 2
and there is no rain, because they have sinned  ^ 2
rain upon thy land, which thou hast given  ^ 2
and forgive the sin of thy servants, and of thy people israel,  ^ 2
and all the holy vessels that were in the tabernacle,  ^ 2
and the tabernacle of the congregation, and all the holy vessels  ^ 2
of the congregation, and all the holy vessels that  ^ 2
they live in the land which  ^ 2
live in the land which thou gavest  ^ 2
in the land which thou gavest unto our fathers.  ^ 2
the land which thou gavest unto our fathers. moreover  ^ 2
which thou gavest unto our fathers. moreover concerning  ^ 2
and do according to all that the stranger calleth  ^ 2
according to all that the stranger calleth to  ^ 2
all people of the earth may know thy name,  ^ 2
place, and do according to all that the stranger  ^ 2
their prayer and their supplication, and maintain their cause. if  ^ 2
and their supplication, and maintain their cause. if they sin  ^ 2
and maintain their cause. if they sin against thee, (for  ^ 2
their cause. if they sin against thee, (for there is no  ^ 2
if they sin against thee, (for there is no man  ^ 2
which thou hast chosen, and the house which i have built  ^ 2
could not be told nor numbered for multitude.  ^ 2
be told nor numbered for multitude. and the priests  ^ 2
nor numbered for multitude. and the priests brought in  ^ 2
numbered for multitude. and the priests brought in the ark  ^ 2
for multitude. and the priests brought in the ark of the covenant  ^ 2
and the priests brought in the ark of the covenant of the lord  ^ 2
brought in the ark of the covenant of the lord unto  ^ 2
the ark of the covenant of the lord unto his place,  ^ 2
thousand oxen, and a hundred and twenty thousand  ^ 2
of the court that was before the house of the lord:  ^ 2
that was before the house of the lord: for  ^ 2
was before the house of the lord: for there  ^ 2
the house of the lord: for there he offered  ^ 2
of the lord: for there he offered burnt offerings,  ^ 2
the middle of the court that was before the house  ^ 2
congregation, from the entering in of hamath unto the river  ^ 2
the place of the ark, and the cherubims covered the ark  ^ 2
of the ark, and the cherubims covered the ark and the staves  ^ 2
and the cherubims covered the ark and the staves thereof above.  ^ 2
over the place of the ark, and the cherubims covered  ^ 2
covered the ark and the staves thereof above. and they drew out  ^ 2
when the lord made a covenant with the children  ^ 2
the lord made a covenant with the children of israel,  ^ 2
made a covenant with the children of israel, when they came out  ^ 2
unto this day. there was nothing in the ark  ^ 2
this day. there was nothing in the ark save  ^ 2
day. there was nothing in the ark save the two  ^ 2
there was nothing in the ark save the two tables  ^ 2
the house of the lord, and the king's house, and all  ^ 2
solomon desired to build in jerusalem, and in lebanon,  ^ 2
were left after them in the land, whom the children  ^ 2
after them in the land, whom the children of israel  ^ 2
and mine eyes and mine heart shall be there perpetually.  ^ 2
before me, as david thy father walked,  ^ 2
thy father, saying, there shall not fail thee a man  ^ 2
why hath the lord done thus unto this  ^ 2
hath the lord done thus unto this land,  ^ 2
christ: grace unto you, and peace,  ^ 2
blessed be the god and father  ^ 2
be the god and father of our  ^ 2
to him be glory and dominion forever and ever.  ^ 2
be glory and dominion forever and ever. amen.  ^ 2
said one to another, what  ^ 2
one to another, what is this  ^ 2
said unto the people, fear not:  ^ 2
the young man that bore his armor, come, and let us go over  ^ 2
saying, cursed be the man that eateth  ^ 2
cursed be the man that eateth any food  ^ 2
and he said, neither hath the lord chosen this.  ^ 2
saul to gibeah, saying, doth not david  ^ 2
to gibeah, saying, doth not david hide himself  ^ 2
thousand chosen men out of all israel,  ^ 2
and went to eli, and said, here  ^ 2
to eli, and said, here am i; for  ^ 2
eli, and said, here am i; for thou didst call  ^ 2
grace be with you. amen. paul,  ^ 2
be with you. amen. paul, and  ^ 2
god our father, and the lord  ^ 2
our father, and the lord jesus  ^ 2
father, and the lord jesus christ.  ^ 2
you. amen. paul, and silvanus,  ^ 2
amen. paul, and silvanus, and  ^ 2
paul, and silvanus, and timothy,  ^ 2
and silvanus, and timothy, unto the  ^ 2
silvanus, and timothy, unto the church  ^ 2
and timothy, unto the church of the thessalonians  ^ 2
and the lord jesus christ. we give thanks  ^ 2
the lord jesus christ. we give thanks to god  ^ 2
lord jesus christ be with you.  ^ 2
jesus christ be with you. amen.  ^ 2
by our lord jesus christ,  ^ 2
you all. amen. paul, an apostle  ^ 2
