Phrase ^ Count
thus saith the lord  ^ 223
that the house of israel  ^ 3
the lord god. the word  ^ 3
god. the word of the lord  ^ 3
man and beast from  ^ 3
were in it, as i live,  ^ 3
it, as i live, saith  ^ 3
that i have brought upon  ^ 3
unto the house of israel,  ^ 3
the house of israel, thus  ^ 3
my face against that man,  ^ 3
the lord god, surely  ^ 3
unto the house of israel;  ^ 3
the lord god; i  ^ 3
the idols of the house of israel,  ^ 3
and do that which is lawful and right,  ^ 3
he shall surely live, he shall not die.  ^ 3
from his righteousness, and committeth iniquity,  ^ 3
the way of the lord is not equal.  ^ 3
and thou, son of man,  ^ 3
which if a man do,  ^ 3
if a man do, he shall even live  ^ 3
for my name's sake, that it should not be polluted  ^ 3
of man, speak unto  ^ 3
speak unto the house  ^ 3
i lifted up mine hand to give  ^ 3
hand, and with a stretched out arm,  ^ 3
ye will not hearken unto  ^ 3
set thy face toward  ^ 3
the lord god; in the day  ^ 3
prophesy and say, thus  ^ 3
son of man, say  ^ 3
day of the month, the word of the lord  ^ 3
i am the lord. thus  ^ 3
am the lord. thus saith  ^ 3
the word of the lord god;  ^ 3
of the lord god; thus  ^ 3
god; thus saith  ^ 3
and it came to pass in the eleventh year,  ^ 3
behold, i will bring upon  ^ 3
son of man, take up  ^ 3
of man, take up a lamentation  ^ 3
and prophesy against and say,  ^ 3
them; and they shall know that i  ^ 3
and there shall be no more  ^ 3
and i will scatter the egyptians among the nations,  ^ 3
moreover he said unto me, son  ^ 3
in his iniquity; but his blood will i require  ^ 3
but his blood will i require at thine hand.  ^ 3
i am the lord. and it came to pass  ^ 3
with them that go down to the pit.  ^ 3
their shame with them that go down  ^ 3
and upon every high  ^ 3
ye mountains of israel, hear  ^ 3
of israel, hear the word  ^ 3
and they shall be my people.  ^ 3
and the heathen shall know that  ^ 3
and many people with  ^ 3
the chief prince of meshech  ^ 3
of man, thus saith  ^ 3
and the people that is with  ^ 3
cubits, and the breadth five  ^ 3
and the breadth five and twenty  ^ 3
five and twenty cubits.  ^ 3
cubits broad. and the porches  ^ 3
court; and palm trees were upon  ^ 3
and palm trees were upon the posts  ^ 3
and he said unto me, this  ^ 3
five hundred reeds,  ^ 3
hundred reeds, with the measuring  ^ 3
and the priest shall take of the blood  ^ 3
over against the oblation of the holy  ^ 3
over against the five and twenty  ^ 3
a and by the border  ^ 3
shall not spare, neither  ^ 3
six hundred forty  ^ 3
a hundred twenty and eight.  ^ 3
hundred twenty and one.  ^ 3
the children of akkub, the children  ^ 3
six hundred fifty  ^ 3
this house of god  ^ 3
governor on this side the river,  ^ 3
of this house of god  ^ 3
for all israel,  ^ 3
the son of amariah, the son  ^ 3
of eleazar, the son of aaron  ^ 3
the brethren which are with  ^ 3
the just shall live  ^ 3
just shall live by  ^ 3
abraham believed god,  ^ 3
believed god, and  ^ 3
these are the  ^ 3
what saith the  ^ 3
that it was good. and god  ^ 3
and god said, let there be  ^ 3
these are the families of the sons  ^ 3
hundred years, and begot  ^ 3
lived thirty years,  ^ 3
thirty years, and begot  ^ 3
and seven years, and begot  ^ 3
upon the face of all  ^ 3
and he said, behold now,  ^ 3
bore a son, and called  ^ 3
she also bore  ^ 3
and abimelech said unto  ^ 3
as god had commanded  ^ 3
thou shalt not take a wife  ^ 3
kindly and truly with  ^ 3
forty years old  ^ 3
take a wife of the daughters  ^ 3
and he called the name of that  ^ 3
the stone from the well's  ^ 3
again, and bore a son;  ^ 3
and bore a son; and said,  ^ 3
son. and leah said,  ^ 3
unto this day:  ^ 3
which is in the land of canaan,  ^ 3
but if ye will not hearken  ^ 3
esau's wife. and these  ^ 3
all that he had,  ^ 3
pharaoh. and pharaoh said  ^ 3
the land of egypt. and pharaoh  ^ 3
asenath the daughter of poti-pherah  ^ 3
the daughter of poti-pherah priest  ^ 3
of egypt unto this  ^ 3
said unto them, fear  ^ 3
died, being a hundred and ten  ^ 3
of the lord by haggai  ^ 3
the son of shealtiel, governor  ^ 3
of shealtiel, governor of judah,  ^ 3
obeyed the voice of the lord  ^ 3
month, in the second year  ^ 3
the lord of hosts, saying,  ^ 3
year of darius, came  ^ 3
of darius, came the word  ^ 3
from this day  ^ 3
on the right hand of the  ^ 3
after those days,  ^ 3
those days, saith  ^ 3
and in their  ^ 3
any of you  ^ 3
as in the  ^ 3
if ye will hear his  ^ 3
ye will hear his voice,  ^ 3
his voice, harden  ^ 3
voice, harden not  ^ 3
harden not your  ^ 3
into his rest,  ^ 3
from the foundation of the world.  ^ 3
thou art a priest forever  ^ 3
the son of god;  ^ 3
and with the  ^ 3
the tables of the  ^ 3
ahaz, and hezekiah, kings  ^ 3
for i am god,  ^ 3
for the lord hath a controversy  ^ 3
the mouth of the lord hath spoken  ^ 3
the lord, the lord of hosts,  ^ 3
the lord god of hosts  ^ 3
the day of the lord cometh,  ^ 3
for fear of the lord,  ^ 3
fear of the lord, and for the glory  ^ 3
the lord god of hosts.  ^ 3
the lord god, behold,  ^ 3
hear ye the words  ^ 3
which the lord hath spoken  ^ 3
and i will make an everlasting covenant  ^ 3
saith the lord, as  ^ 3
blessed is the man that  ^ 3
have not the  ^ 3
and the scripture  ^ 3
who art thou  ^ 3
the scripture saith  ^ 3
the devil, and  ^ 3
not on the  ^ 3
upon all the inhabitants  ^ 3
and against all the cities  ^ 3
then said i, ah, lord  ^ 3
i, ah, lord god!  ^ 3
put forth his hand, and touched  ^ 3
be not afraid of  ^ 3
of israel and the house of judah  ^ 3
the lord of hosts, behold,  ^ 3
in the cities of judah, and in the streets  ^ 3
of judah, and in the streets of jerusalem,  ^ 3
not, nor inclined  ^ 3
unto me, saying, thus  ^ 3
to jeremiah concerning  ^ 3
them, thus saith the lord;  ^ 3
brought up the children of israel  ^ 3
of mirth, and the voice of gladness,  ^ 3
sitting upon the throne  ^ 3
every one from his evil way,  ^ 3
the evil that i have pronounced  ^ 3
that i have pronounced against  ^ 3
hear ye the word of the lord,  ^ 3
then said jeremiah unto  ^ 3
king of babylon, and into the hand  ^ 3
saith the lord of hosts  ^ 3
unto you, saying, ye shall not  ^ 3
saith the lord; because  ^ 3
jeconiah the son of jehoiakim  ^ 3
unto me, what seest  ^ 3
unto you all  ^ 3
against this city,  ^ 3
of judah, saying, thus  ^ 3
of ahikam the son of shaphan  ^ 3
they prophesy a lie  ^ 3
under the yoke of the king of babylon,  ^ 3
which nebuchadnezzar king  ^ 3
the god of israel, concerning  ^ 3
saith the lord: for  ^ 3
that jeremiah the prophet  ^ 3
the lord of hosts; behold,  ^ 3
whom the king of babylon  ^ 3
of the lord unto jeremiah,  ^ 3
the good that i  ^ 3
and have not obeyed the voice  ^ 3
the lord. the word that  ^ 3
that the lord spoke  ^ 3
unto baruch the son  ^ 3
baruch the son of neriah,  ^ 3
shut up in the court of the prison,  ^ 3
the lord; behold, i will give  ^ 3
behold, i will give this  ^ 3
i will give this city  ^ 3
this city into the hand  ^ 3
jeremiah, saying, thus  ^ 3
and thou shalt not escape  ^ 3
you all my servants  ^ 3
all my servants the prophets,  ^ 3
said unto jeremiah,  ^ 3
the king of babylon's princes,  ^ 3
by the sword, by the famine, and by the pestilence:  ^ 3
of ahikam the son of shaphan,  ^ 3
the captain of the guard carried away captive  ^ 3
ishmael the son of nethaniah  ^ 3
johanan the son of kareah,  ^ 3
and ishmael the son of nethaniah  ^ 3
of the forces that were with  ^ 3
of egypt to sojourn there,  ^ 3
to the queen of heaven, and to pour out  ^ 3
to jeremiah the prophet  ^ 3
jeremiah the prophet against  ^ 3
saith the king, whose name  ^ 3
the king, whose name is the lord  ^ 3
and all the inhabitants of the land  ^ 3
my soul be avenged on such  ^ 3
be avenged on such a nation  ^ 3
on such a nation as this?  ^ 3
these things ? saith the lord:  ^ 3
shall not my soul be avenged  ^ 3
for they know not  ^ 3
in those days, and in that  ^ 3
days, and in that time,  ^ 3
and i only am escaped  ^ 3
alone to tell while he  ^ 3
to tell while he was yet  ^ 3
while he was yet speaking,  ^ 3
was yet speaking, there came  ^ 3
speaking, there came also another,  ^ 3
there came also another, and said,  ^ 3
if a man die,  ^ 3
what is man, that  ^ 3
then answered bildad the shuhite,  ^ 3
bildad the shuhite, and said,  ^ 3
but job answered and said,  ^ 3
unto the ends of the earth.  ^ 3
and merciful, slow to anger,  ^ 3
to anger, and of great kindness,  ^ 3
he was in the  ^ 3
god. and the  ^ 3
him, and cried,  ^ 3
and cried, saying,  ^ 3
who art thou?  ^ 3
the christ. and  ^ 3
but he that sent me  ^ 3
of men. and the  ^ 3
the light, that  ^ 3
by the door  ^ 3
for the sheep.  ^ 3
not of this  ^ 3
and many of  ^ 3
of them said,  ^ 3
thou be the  ^ 3
the works that  ^ 3
works that i  ^ 3
because ye are not  ^ 3
ye are not of  ^ 3
answered him, saying,  ^ 3
god. jesus answered  ^ 3
came, and the  ^ 3
many believed on  ^ 3
the door of the  ^ 3
with him. then  ^ 3
of the jews  ^ 3
the last day.  ^ 3
came unto him.  ^ 3
the house, and  ^ 3
in the house,  ^ 3
said the jews,  ^ 3
cometh to the  ^ 3
thou hast sent me.  ^ 3
hast sent me. and  ^ 3
and his face  ^ 3
believed on him.  ^ 3
and said, what  ^ 3
with his disciples.  ^ 3
that cometh in the name  ^ 3
in the name of the lord.  ^ 3
the name of the lord. and  ^ 3
them, saying, the  ^ 3
i say unto you, except  ^ 3
life shall lose it;  ^ 3
prince of this world  ^ 3
that the saying  ^ 3
might be fulfilled, which he spake,  ^ 3
one of his  ^ 3
his glory, and  ^ 3
he that believeth on me,  ^ 3
whosoever believeth on  ^ 3
that whosoever believeth  ^ 3
but me ye have  ^ 3
me ye have not  ^ 3
ye have not always.  ^ 3
you; but me  ^ 3
which were in the  ^ 3
me receiveth him that sent  ^ 3
said jesus unto him,  ^ 3
whither i go,  ^ 3
i go, ye  ^ 3
go, ye cannot  ^ 3
then cometh he to  ^ 3
that i am in  ^ 3
i am in the  ^ 3
because i go  ^ 3
my father. and  ^ 3
these things have i spoken unto you,  ^ 3
the father; and  ^ 3
sin: but now  ^ 3
from the father,  ^ 3
in me, and  ^ 3
a little while, and ye shall see  ^ 3
a little while, and ye shall not  ^ 3
ye shall not see me:  ^ 3
see me: and  ^ 3
me: and again,  ^ 3
and again, a little while,  ^ 3
again, a little while, and  ^ 3
what is this  ^ 3
his disciples said  ^ 3
in the world  ^ 3
but the son  ^ 3
am not of  ^ 3
thee on the  ^ 3
from thee, and  ^ 3
and cut off his  ^ 3
the palace of the  ^ 3
not thou also  ^ 3
then said pilate  ^ 3
unto them, i am  ^ 3
ye? and they said,  ^ 3
and the soldiers  ^ 3
hail, king of the  ^ 3
king of the jews!  ^ 3
of the jews! and  ^ 3
for fear of the  ^ 3
and took the  ^ 3
body of jesus. and  ^ 3
to jesus by night,  ^ 3
again into the  ^ 3
and jesus went up  ^ 3
and overthrew the  ^ 3
when he was in  ^ 3
saith unto her, woman,  ^ 3
and knew not  ^ 3
sepulcher, and seeth  ^ 3
saith unto him, sir,  ^ 3
and say unto them,  ^ 3
after these things jesus  ^ 3
simon, son of jona, lovest  ^ 3
knowest that i love  ^ 3
that i love thee.  ^ 3
unto him, feed my  ^ 3
of the pharisees,  ^ 3
into the land  ^ 3
and said unto her,  ^ 3
said unto her, if  ^ 3
woman saith unto him,  ^ 3
the will of him that sent  ^ 3
and said unto the  ^ 3
after two days  ^ 3
besought him that  ^ 3
signs and wonders,  ^ 3
the fever left  ^ 3
the jews sought  ^ 3
he said unto his disciples,  ^ 3
walking on the  ^ 3
on the sea,  ^ 3
and a great multitude  ^ 3
it is i; be not afraid.  ^ 3
them and said,  ^ 3
but my father  ^ 3
and i will raise him up  ^ 3
i will raise him up at the  ^ 3
will raise him up at the last  ^ 3
at the last day.  ^ 3
went up into the  ^ 3
him. now the  ^ 3
he that sent me is  ^ 3
jesus in the  ^ 3
said jesus unto them,  ^ 3
ye shall seek me, and  ^ 3
and shall not find  ^ 3
come. then said  ^ 3
said the jews  ^ 3
show thyself to the  ^ 3
on him. then  ^ 3
are ye also  ^ 3
of the pharisees  ^ 3
the mount of olives.  ^ 3
and the servant  ^ 3
my father: and  ^ 3
i say unto you, if  ^ 3
and the prophets;  ^ 3
now we know that  ^ 3
the midst of them, and  ^ 3
on the ground,  ^ 3
the ground. and  ^ 3
he answered and  ^ 3
the pharisees also  ^ 3
disciples asked him,  ^ 3
he said, lord,  ^ 3
him. and jesus  ^ 3
and said unto him, why  ^ 3
nineveh, that great city,  ^ 3
the servant of the lord commanded  ^ 3
and joshua returned, and all  ^ 3
returned, and all israel  ^ 3
and smote it with the edge of the sword,  ^ 3
it with the edge of the sword, and all  ^ 3
of the sword, and all the souls  ^ 3
and all the souls that  ^ 3
the people of war with  ^ 3
and the lord delivered them into the hand  ^ 3
this is the inheritance of the children  ^ 3
eleazar the priest, and joshua  ^ 3
of the fathers of the tribes of the children  ^ 3
of the tribes of the children of israel,  ^ 3
that went up with  ^ 3
of the tribe of the children of judah  ^ 3
of machir, the son of manasseh,  ^ 3
of the tribe of the children of benjamin  ^ 3
according to their families, these cities  ^ 3
these cities with their villages.  ^ 3
according to the word of the lord  ^ 3
all the inhabitants of the land  ^ 3
at the commandment of the lord,  ^ 3
commanded by the hand of moses.  ^ 3
the children of reuben and the children  ^ 3
the children of gad, and to  ^ 3
the son of eleazar the priest,  ^ 3
unto the children of reuben,  ^ 3
the children of reuben, and to  ^ 3
of reuben, and to the children  ^ 3
and to the children of gad,  ^ 3
and the children of gad and the children  ^ 3
the son of nun, the servant  ^ 3
the son of zippor, king  ^ 3
before the ark of the lord  ^ 3
the son of zabdi, the son  ^ 3
of wood and drawers of water  ^ 3
the inhabitants of the land from before  ^ 3
of jesus christ, and  ^ 3
and the children of israel cried  ^ 3
did evil again  ^ 3
evil again in the sight  ^ 3
and the anger of the lord was hot  ^ 3
of the lord was hot against israel,  ^ 3
and manoah said unto  ^ 3
said unto the angel  ^ 3
unto the angel of the lord,  ^ 3
that he was an angel  ^ 3
and samson said unto  ^ 3
him, the philistines be upon thee, samson.  ^ 3
unto him, the philistines be upon  ^ 3
in those days there was no  ^ 3
days there was no king  ^ 3
to battle against the children  ^ 3
all these were men  ^ 3
come thou, and reign  ^ 3
thou, and reign over  ^ 3
to be promoted over the trees?  ^ 3
and go to be promoted over  ^ 3
and gaal the son of ebed  ^ 3
the men of the tower of shechem  ^ 3
unto the lord. and if his offering  ^ 3
and the priests, aaron's sons,  ^ 3
round about upon the altar.  ^ 3
the wood that is on  ^ 3
strange fire before  ^ 3
because he cheweth  ^ 3
he cheweth the cud,  ^ 3
cheweth the cud, but divideth  ^ 3
the cud, but divideth not  ^ 3
but divideth not the hoof;  ^ 3
not the hoof; he  ^ 3
the hoof; he is unclean  ^ 3
of egypt, to be your god:  ^ 3
turtles, or two  ^ 3
then the priest shall shut him up seven  ^ 3
in the skin, then the priest shall pronounce him unclean:  ^ 3
seven days: and the priest  ^ 3
seven days more:  ^ 3
in the woof, or in any  ^ 3
or in any thing  ^ 3
in any thing of skin;  ^ 3
in the garment, either in the warp,  ^ 3
them for a wave offering before the lord:  ^ 3
seven times before  ^ 3
shall make an atonement for him before  ^ 3
moses, saying, this  ^ 3
unto the priest: and the priest  ^ 3
for a sin offering, and the other for a burnt offering,  ^ 3
ye be come into the land  ^ 3
shall be unclean. and whosoever toucheth  ^ 3
his clothes, and bathe his flesh  ^ 3
and bathe his flesh in water,  ^ 3
his flesh in water, and afterward  ^ 3
or of the strangers that sojourn  ^ 3
his sons, and unto all  ^ 3
thou shalt not uncover her nakedness.  ^ 3
i am the lord. thou shalt not  ^ 3
whither i bring  ^ 3
for his sin which  ^ 3
and that soul shall be cut off  ^ 3
of a sweet savor unto the lord:  ^ 3
of fine flour mingled with oil,  ^ 3
am the lord. and the lord spoke  ^ 3
their blood and if a man  ^ 3
the holy things of the children of israel,  ^ 3
unto aaron and to  ^ 3
aaron and to his sons,  ^ 3
convocation: ye shall do no  ^ 3
unto the lord seven days:  ^ 3
month at even  ^ 3
among the children of israel.  ^ 3
by the hand of moses. and the lord  ^ 3
with the kidneys, it shall he take away.  ^ 3
that is upon them, which  ^ 3
is upon them, which is by  ^ 3
the lord. and he shall lay his hand  ^ 3
and shall pour out all the blood  ^ 3
the blood at the bottom  ^ 3
at the bottom of the altar  ^ 3
saying, if a soul  ^ 3
the horns of the altar of burnt offering,  ^ 3
of the altar of burnt offering, and shall pour out  ^ 3
for a sweet savor unto the lord;  ^ 3
a ram without blemish out of  ^ 3
soul shall be cut off from his people.  ^ 3
commanded moses. and moses  ^ 3
commanded moses. and he brought  ^ 3
and aaron and his sons laid  ^ 3
and his sons laid their hands  ^ 3
laid their hands upon  ^ 3
before the lord. and moses  ^ 3
and moses did as  ^ 3
whole multitude of the  ^ 3
unto the angel,  ^ 3
his own house. and  ^ 3
answered and said unto her,  ^ 3
and it came to pass, that on  ^ 3
in their hearts,  ^ 3
was in the  ^ 3
and the child  ^ 3
into whatsoever city  ^ 3
than for that city.  ^ 3
tyre and sidon,  ^ 3
the power of the  ^ 3
laborers into his  ^ 3
master, what shall i do  ^ 3
all thy heart,  ^ 3
thy heart, and  ^ 3
heart, and with  ^ 3
all thy soul,  ^ 3
thy soul, and  ^ 3
thou shalt love the lord thy  ^ 3
the lord thy god  ^ 3
thy god with  ^ 3
jesus answering said,  ^ 3
and into whatsoever  ^ 3
of the devils. and  ^ 3
divided against itself  ^ 3
the unclean spirit  ^ 3
worse than the first.  ^ 3
of the company  ^ 3
a sign; and there shall no  ^ 3
and there shall no sign  ^ 3
but the sign  ^ 3
son of man be  ^ 3
shall rise up in the  ^ 3
in the judgment  ^ 3
the judgment with  ^ 3
this generation, and  ^ 3
generation, and shall condemn  ^ 3
and shall condemn it:  ^ 3
judgment with this  ^ 3
with this generation,  ^ 3
greetings in the  ^ 3
and said unto him, master,  ^ 3
and some of them  ^ 3
that they might accuse him.  ^ 3
to me, and  ^ 3
against the holy  ^ 3
for there is nothing  ^ 3
unto his disciples,  ^ 3
therefore i say unto you,  ^ 3
lord when he cometh shall find  ^ 3
servant, whom his  ^ 3
whom his lord  ^ 3
in his heart,  ^ 3
the lord of that  ^ 3
lord of that servant  ^ 3
yea, i say unto you,  ^ 3
deliver thee to the  ^ 3
me before men,  ^ 3
before men, him  ^ 3
and when jesus saw  ^ 3
depart from me,  ^ 3
i say unto you, ye shall not  ^ 3
he answering said  ^ 3
himself shall be abased; and  ^ 3
the resurrection of the  ^ 3
and children, and  ^ 3
and brethren, and  ^ 3
be my disciple.  ^ 3
if the salt  ^ 3
and they could not  ^ 3
the publicans and  ^ 3
publicans and sinners  ^ 3
i say unto you, there is  ^ 3
and when he came to  ^ 3
and kissed him.  ^ 3
kissed him. and  ^ 3
his hand, and  ^ 3
was dead, and  ^ 3
and thy father  ^ 3
and love the  ^ 3
into it. and  ^ 3
them. and he  ^ 3
thy faith hath made thee whole.  ^ 3
for him that a millstone  ^ 3
that a millstone were hanged  ^ 3
a millstone were hanged about  ^ 3
were hanged about his  ^ 3
about his neck,  ^ 3
faith hath made thee whole. and  ^ 3
suffer many things, and  ^ 3
many things, and be rejected  ^ 3
and be rejected of  ^ 3
if thy brother  ^ 3
the other left.  ^ 3
and forbid them  ^ 3
for of such is  ^ 3
of such is the  ^ 3
but jesus called  ^ 3
jesus called them  ^ 3
good master, what  ^ 3
eternal life? and  ^ 3
unto him, why callest  ^ 3
why callest thou me  ^ 3
callest thou me good?  ^ 3
and thou shalt have treasure  ^ 3
thou shalt have treasure in  ^ 3
treasure in heaven:  ^ 3
the kingdom of god!  ^ 3
than for a rich man to enter  ^ 3
for a rich man to enter into  ^ 3
it is easier for a camel  ^ 3
easier for a camel to go  ^ 3
for a camel to go through  ^ 3
who then can  ^ 3
then can be saved?  ^ 3
or brethren, or  ^ 3
or wife, or  ^ 3
wife, or children,  ^ 3
third day he shall rise again.  ^ 3
sat by the  ^ 3
unto him: and  ^ 3
son of man is come  ^ 3
the village over against  ^ 3
unto them, why  ^ 3
in the way.  ^ 3
in the name of the lord:  ^ 3
but ye have made  ^ 3
ye have made it  ^ 3
have made it a den  ^ 3
it a den of thieves.  ^ 3
a den of thieves. and  ^ 3
the spirit into  ^ 3
spirit into the  ^ 3
and when he was  ^ 3
were astonished at his  ^ 3
and when they saw him,  ^ 3
my beloved son:  ^ 3
come, let us kill him,  ^ 3
lord of the vineyard  ^ 3
the people: for  ^ 3
what authority doest  ^ 3
authority doest thou these things?  ^ 3
teachest the way  ^ 3
master, we know that  ^ 3
and raise up seed  ^ 3
raise up seed unto his  ^ 3
seed unto his brother.  ^ 3
saying, master, moses  ^ 3
seven brethren: and  ^ 3
brethren: and the  ^ 3
last of all the  ^ 3
of all the woman  ^ 3
the woman died  ^ 3
woman died also.  ^ 3
heaven, or of  ^ 3
my right hand, till  ^ 3
right hand, till i make  ^ 3
till i make thine  ^ 3
widows' houses, and  ^ 3
we shall say, from heaven;  ^ 3
with themselves, saying,  ^ 3
themselves, saying, if  ^ 3
saying, if we shall say,  ^ 3
if we shall say, from  ^ 3
planted a vineyard, and  ^ 3
and kingdom against  ^ 3
kingdom against kingdom:  ^ 3
nation shall rise against  ^ 3
shall rise against nation,  ^ 3
against nation, and  ^ 3
nation, and kingdom  ^ 3
against kingdom: and  ^ 3
you, and persecute  ^ 3
in those days!  ^ 3
this generation shall not  ^ 3
but my words  ^ 3
my words shall not  ^ 3
words shall not pass away.  ^ 3
one stone upon another, that shall not  ^ 3
that shall not be thrown down.  ^ 3
shall not be thrown down. and  ^ 3
be? and what  ^ 3
many shall come in  ^ 3
shall come in my  ^ 3
my name, saying,  ^ 3
name, saying, i  ^ 3
for many shall come  ^ 3
they made ready the passover.  ^ 3
and they made ready the  ^ 3
and the twelve  ^ 3
fruit of the vine,  ^ 3
of the vine, until  ^ 3
among you, let him be  ^ 3
followed him. and  ^ 3
from me: nevertheless  ^ 3
me: nevertheless not  ^ 3
and being in  ^ 3
judas, one of the  ^ 3
and the power  ^ 3
daily with you  ^ 3
the fire, and  ^ 3
unto him, before the cock  ^ 3
before the cock crow,  ^ 3
the cock crow, thou shalt deny  ^ 3
crow, thou shalt deny me  ^ 3
me thrice. and  ^ 3
and many other things  ^ 3
elders of the people  ^ 3
unto him, where wilt  ^ 3
why, what evil  ^ 3
and there followed him  ^ 3
and pilate asked  ^ 3
and one of the  ^ 3
rebuked him, saying,  ^ 3
unto him, verily i say  ^ 3
the ninth hour. and  ^ 3
of the temple was rent  ^ 3
and the sun  ^ 3
the veil of the  ^ 3
veil of the temple  ^ 3
and laid it  ^ 3
laid it in  ^ 3
mary magdalene and  ^ 3
with them. and  ^ 3
in your hearts?  ^ 3
he said unto them, why  ^ 3
unto them, why are  ^ 3
he shall baptize you  ^ 3
shall baptize you with  ^ 3
you with the holy  ^ 3
his brother philip's  ^ 3
and a voice came  ^ 3
into all the  ^ 3
the voice of one crying in  ^ 3
the wilderness, prepare  ^ 3
wilderness, prepare ye the  ^ 3
prepare ye the way  ^ 3
ye the way of the lord,  ^ 3
way of the lord, make  ^ 3
of the lord, make his  ^ 3
make his paths  ^ 3
his paths straight.  ^ 3
good fruit is hewn down,  ^ 3
fruit is hewn down, and  ^ 3
is hewn down, and cast  ^ 3
and cast into  ^ 3
cast into the fire.  ^ 3
and now also  ^ 3
into the wilderness,  ^ 3
and when the devil  ^ 3
in their synagogues,  ^ 3
in his own country,  ^ 3
and the devil  ^ 3
unto him, if thou be  ^ 3
at his doctrine:  ^ 3
his doctrine: for  ^ 3
out of him. and  ^ 3
and jesus rebuked  ^ 3
and they besought him  ^ 3
get thee behind me,  ^ 3
thee behind me, satan:  ^ 3
and besought him, saying,  ^ 3
if thou wilt, thou canst  ^ 3
thou wilt, thou canst make me clean.  ^ 3
thou canst make me clean. and  ^ 3
his hand, and touched him,  ^ 3
thyself to the priest,  ^ 3
to the priest, and  ^ 3
priest, and offer  ^ 3
moses commanded, for  ^ 3
commanded, for a testimony  ^ 3
for a testimony unto them.  ^ 3
thee; or to say,  ^ 3
thy sins be forgiven  ^ 3
be forgiven thee; or  ^ 3
and walk? but  ^ 3
earth to forgive sins,  ^ 3
walk? but that  ^ 3
arise, and take up  ^ 3
and take up thy  ^ 3
but that ye may know  ^ 3
ye may know that the  ^ 3
of man hath power  ^ 3
thine house. and  ^ 3
the land. and  ^ 3
publicans and sinners?  ^ 3
to call the righteous, but  ^ 3
the righteous, but sinners  ^ 3
but sinners to  ^ 3
sinners to repentance.  ^ 3
children of the bridechamber  ^ 3
while the bridegroom  ^ 3
the bridegroom is  ^ 3
bridegroom is with  ^ 3
is with them?  ^ 3
but the days will come,  ^ 3
will come, when the  ^ 3
when the bridegroom  ^ 3
and the bottles  ^ 3
wine into old  ^ 3
james and john,  ^ 3
james the son of alphaeus,  ^ 3
the son of alphaeus, and  ^ 3
of his disciples, and  ^ 3
of tyre and sidon,  ^ 3
what david did,  ^ 3
david did, when  ^ 3
have ye? for  ^ 3
ye? for sinners  ^ 3
for sinners also  ^ 3
what thank have  ^ 3
thank have ye?  ^ 3
not the beam  ^ 3
is in thine own eye?  ^ 3
that is in thy  ^ 3
is in thy brother's  ^ 3
son of man is  ^ 3
of man is lord  ^ 3
in that same hour  ^ 3
send my messenger  ^ 3
my messenger before  ^ 3
messenger before thy  ^ 3
before thy face,  ^ 3
thy face, which  ^ 3
face, which shall prepare  ^ 3
which shall prepare thy  ^ 3
shall prepare thy way  ^ 3
thy way before  ^ 3
way before thee.  ^ 3
i send my  ^ 3
unto you, and ye have not  ^ 3
at his feet  ^ 3
of the kingdom of god:  ^ 3
not, from him  ^ 3
thy mother and  ^ 3
mother and thy  ^ 3
and thy brethren  ^ 3
mother and my  ^ 3
my mother and  ^ 3
the winds and  ^ 3
the country of the  ^ 3
fell down before him, and  ^ 3
the man. for  ^ 3
ran violently down a steep place  ^ 3
down a steep place into  ^ 3
a steep place into the  ^ 3
out of the man,  ^ 3
of his garment: and  ^ 3
they that were with him  ^ 3
he said unto her,  ^ 3
but sleepeth. and  ^ 3
her by the hand,  ^ 3
some fell among  ^ 3
and the thorns  ^ 3
good ground, and  ^ 3
into a desert place  ^ 3
that they may go into  ^ 3
they may go into the  ^ 3
five loaves and  ^ 3
give ye them  ^ 3
loaves and the  ^ 3
the two fishes,  ^ 3
unto them, but whom  ^ 3
but whom say  ^ 3
whom say ye  ^ 3
say ye that i  ^ 3
the third day.  ^ 3
after me, let him deny  ^ 3
me, let him deny himself,  ^ 3
let him deny himself, and  ^ 3
himself, and take up  ^ 3
and take up his  ^ 3
and follow me.  ^ 3
follow me. for  ^ 3
me. for whosoever  ^ 3
for whosoever will  ^ 3
whosoever will save  ^ 3
will save his  ^ 3
save his life  ^ 3
life shall lose it:  ^ 3
world, and lose  ^ 3
it. for what  ^ 3
whole world, and  ^ 3
here, which shall not  ^ 3
which shall not taste  ^ 3
shall not taste of death,  ^ 3
taste of death, till  ^ 3
it is good for us  ^ 3
good for us to be  ^ 3
for us to be here:  ^ 3
three tabernacles; one  ^ 3
tabernacles; one for thee,  ^ 3
one for thee, and  ^ 3
for thee, and one  ^ 3
and one for moses,  ^ 3
one for moses, and  ^ 3
for moses, and one  ^ 3
out of the cloud,  ^ 3
generation, how long shall i be  ^ 3
how long shall i be with  ^ 3
son of man shall  ^ 3
in my name  ^ 3
answered and said, master,  ^ 3
and when his disciples  ^ 3
birds of the air  ^ 3
 jesus said  ^ 3
the burden of the word of the lord  ^ 3
preaching the gospel  ^ 3
into the sea:  ^ 3
by the sea  ^ 3
john his brother,  ^ 3
and they came to  ^ 3
him all the  ^ 3
disciples asked him  ^ 3
among themselves, who  ^ 3
and james and  ^ 3
of the cup that  ^ 3
cup that i  ^ 3
whosoever will be  ^ 3
son of man came  ^ 3
the mount of olives,  ^ 3
