Phrase ^ Count
thus saith the lord god;  ^ 95
but sinners to repentance.  ^ 3
the children of the bridechamber  ^ 3
the bridegroom is with  ^ 3
bridegroom is with them?  ^ 3
but the days will come, when  ^ 3
the days will come, when the  ^ 3
will come, when the bridegroom  ^ 3
new wine into old  ^ 3
james the son of alphaeus, and  ^ 3
what david did, when  ^ 3
thank have ye? for  ^ 3
have ye? for sinners  ^ 3
ye? for sinners also  ^ 3
what thank have ye?  ^ 3
mote that is in thy  ^ 3
that is in thy brother's  ^ 3
the son of man is  ^ 3
son of man is lord  ^ 3
i send my messenger  ^ 3
send my messenger before  ^ 3
my messenger before thy  ^ 3
messenger before thy face,  ^ 3
before thy face, which  ^ 3
thy face, which shall prepare  ^ 3
face, which shall prepare thy  ^ 3
which shall prepare thy way  ^ 3
shall prepare thy way before  ^ 3
thy way before thee.  ^ 3
behold, i send my  ^ 3
thy mother and thy  ^ 3
mother and thy brethren  ^ 3
my mother and my  ^ 3
ran violently down a steep place into  ^ 3
down a steep place into the  ^ 3
and they that were with him  ^ 3
and he said unto her,  ^ 3
and some fell among  ^ 3
that they may go into the  ^ 3
and the two fishes,  ^ 3
unto them, but whom say  ^ 3
but whom say ye  ^ 3
whom say ye that i  ^ 3
come after me, let him deny  ^ 3
after me, let him deny himself,  ^ 3
me, let him deny himself, and  ^ 3
let him deny himself, and take up  ^ 3
himself, and take up his  ^ 3
and follow me. for  ^ 3
follow me. for whosoever  ^ 3
me. for whosoever will  ^ 3
for whosoever will save  ^ 3
whosoever will save his  ^ 3
will save his life  ^ 3
save his life shall lose  ^ 3
his life shall lose it:  ^ 3
whole world, and lose  ^ 3
the whole world, and  ^ 3
here, which shall not taste  ^ 3
which shall not taste of death,  ^ 3
shall not taste of death, till  ^ 3
it is good for us to be  ^ 3
good for us to be here:  ^ 3
three tabernacles; one for thee,  ^ 3
tabernacles; one for thee, and  ^ 3
one for thee, and one  ^ 3
for thee, and one for moses,  ^ 3
and one for moses, and  ^ 3
one for moses, and one  ^ 3
generation, how long shall i be with  ^ 3
the son of man shall  ^ 3
 jesus said unto him,  ^ 3
preaching the gospel of the  ^ 3
son of zebedee, and john his  ^ 3
and john his brother,  ^ 3
his disciples asked him  ^ 3
of the cup that i  ^ 3
the son of man came  ^ 3
with the twelve. and  ^ 3
disciples, and saith unto them,  ^ 3
father which is in heaven  ^ 3
and with all the  ^ 3
and came into the  ^ 3
with me in the  ^ 3
man by whom the  ^ 3
the son of man is betrayed  ^ 3
all the chief priests and  ^ 3
coming in the clouds  ^ 3
jesus cried with a loud voice,  ^ 3
was mary magdalene, and  ^ 3
mary magdalene, and mary  ^ 3
magdalene, and mary the  ^ 3
when he was come into the  ^ 3
i say unto you, it shall be more tolerable  ^ 3
in the day of judgment, than  ^ 3
and they did all eat, and  ^ 3
beware of the leaven  ^ 3
and were filled: and they took up  ^ 3
for thee to enter into life  ^ 3
the fire is not quenched.  ^ 3
where their worm dieth  ^ 3
their worm dieth not,  ^ 3
worm dieth not, and  ^ 3
dieth not, and the  ^ 3
not, and the fire  ^ 3
and the fire is not  ^ 3
all this was done, that  ^ 3
that it might be fulfilled which was spoken  ^ 3
saying, the kingdom of heaven  ^ 3
the kingdom of heaven is at hand.  ^ 3
and it came to pass, when jesus  ^ 3
 jesus answered and said  ^ 3
by isaiah the prophet,  ^ 3
isaiah the prophet, saying,  ^ 3
but he answered and said  ^ 3
of my father which is in  ^ 3
which was spoken by the prophet,  ^ 3
again, the kingdom of heaven  ^ 3
and worshiped him, saying, lord,  ^ 3
came into the coasts  ^ 3
into the kingdom of heaven.  ^ 3
in the kingdom of heaven.  ^ 3
the kingdom of heaven. and  ^ 3
and cast it from thee:  ^ 3
is the kingdom of heaven.  ^ 3
young child and his mother,  ^ 3
the temple of god, and  ^ 3
for one is your  ^ 3
whosoever shall swear by the  ^ 3
shall also the coming of the  ^ 3
the coming of the son  ^ 3
coming of the son of man  ^ 3
of the son of man be.  ^ 3
the holy city, and  ^ 3
i say unto you, that  ^ 3
say unto you, that whosoever  ^ 3
verily i say unto you, they have  ^ 3
i say unto you, they have their  ^ 3
unto you, they have their reward.  ^ 3
they have their reward. but  ^ 3
it, and set up the doors thereof, the locks thereof, and the bars  ^ 3
spoke unto moses in the wilderness  ^ 3
unto moses in the wilderness of sinai,  ^ 3
of all the congregation of the children of israel,  ^ 3
thousand and five hundred. of the children  ^ 3
and four thousand and four hundred.  ^ 3
and five thousand and four hundred.  ^ 3
and two thousand and seven hundred.  ^ 3
and three thousand and four hundred.  ^ 3
the commandment of the lord by the hand of moses.  ^ 3
against moses and against aaron,  ^ 3
of moab by jordan near jericho,  ^ 3
by jordan near jericho, saying,  ^ 3
of moab by jordan near jericho.  ^ 3
beside the continual burnt offering, and his drink offering.  ^ 3
ram, seven lambs of the first  ^ 3
unto the lord; two young bullocks,  ^ 3
tenth deals of flour for a meat offering, mingled  ^ 3
of flour for a meat offering, mingled with oil,  ^ 3
ram, and seven lambs of the first  ^ 3
ye shall have a holy convocation; ye shall do  ^ 3
and their meat offering shall be of flour mingled with oil,  ^ 3
shall be of flour mingled with oil, three  ^ 3
and one kid of the goats for a sin offering;  ^ 3
of the goats for a sin offering; beside the continual  ^ 3
beside the continual burnt offering, and his meat offering,  ^ 3
the continual burnt offering, and his meat offering, and his drink offering.  ^ 3
of the first year without blemish: and their meat offering  ^ 3
of all the males, from a month old  ^ 3
the males, from a month old and upward,  ^ 3
and say unto them, when ye  ^ 3
he is a murderer: the murderer shall surely be put to death.  ^ 3
of ithamar the son of aaron the priest.  ^ 3
years old, every one that entereth  ^ 3
old, every one that entereth into the service,  ^ 3
every one that entereth into the service, for the work  ^ 3
that entereth into the service, for the work in the tabernacle  ^ 3
his offering was one silver charger  ^ 3
was one silver charger of the weight  ^ 3
silver charger of the weight of a hundred  ^ 3
charger of the weight of a hundred and thirty  ^ 3
ye the lord. o give thanks unto the lord; for  ^ 3
unto the lord; for he is good: for  ^ 3
say, that his mercy endureth forever.  ^ 3
for his mercy endureth forever. o give thanks  ^ 3
good, no, not one.  ^ 3
that doeth good, no, not  ^ 3
to the chief musician, a psalm for the sons of korah.  ^ 3
and in the midst of the  ^ 3
for the word of god,  ^ 3
and i heard a voice from  ^ 3
having seven heads and  ^ 3
written in the book  ^ 3
in the book of life  ^ 3
of the wine of the  ^ 3
the wine of the wrath  ^ 3
and cast it into the  ^ 3
in their foreheads. and  ^ 3
angels which had the seven  ^ 3
seven angels which had the  ^ 3
the kings of the earth,  ^ 3
spirit saith unto the churches;  ^ 3
write; these things saith the  ^ 3
saith unto the churches. and  ^ 3
glory and honor and  ^ 3
beast say, come and  ^ 3
say, come and see.  ^ 3
apart, and their wives apart; the family  ^ 3
the lord of hosts hath sent me unto  ^ 3
of raamah; sheba, and dedan. and cush  ^ 2
sheba, and dedan. and cush begot  ^ 2
and dedan. and cush begot nimrod:  ^ 2
and cush begot nimrod: he  ^ 2
begot nimrod: he began  ^ 2
nimrod: he began to be  ^ 2
and mizraim begot ludim, and anamim,  ^ 2
begot ludim, and anamim, and lehabim,  ^ 2
ludim, and anamim, and lehabim, and naphtuhim,  ^ 2
and anamim, and lehabim, and naphtuhim, and pathrusim,  ^ 2
and lehabim, and naphtuhim, and pathrusim, and casluhim,  ^ 2
and the hivite, and the arkite, and the sinite, and the arvadite,  ^ 2
and the arkite, and the sinite, and the arvadite, and the zemarite,  ^ 2
of shem; elam, and asshur, and arphaxad,  ^ 2
elam, and asshur, and arphaxad, and lud,  ^ 2
begot eber. and unto eber were born  ^ 2
eber. and unto eber were born two  ^ 2
and unto eber were born two sons:  ^ 2
were born two sons: the name  ^ 2
and his brother's name was joktan. and joktan  ^ 2
name was joktan. and joktan begot  ^ 2
was joktan. and joktan begot almodad,  ^ 2
and joktan begot almodad, and sheleph,  ^ 2
begot almodad, and sheleph, and hazarmaveth,  ^ 2
almodad, and sheleph, and hazarmaveth, and jerah,  ^ 2
and abimael, and sheba, and ophir, and havilah,  ^ 2
all these were the sons of joktan.  ^ 2
and jokshan, and medan, and midian, and ishbak,  ^ 2
and medan, and midian, and ishbak, and shuah.  ^ 2
zimran, and jokshan, and medan, and midian,  ^ 2
and the sons of midian; ephah, and epher,  ^ 2
and abida, and eldaah. all these  ^ 2
lotan, and shobal, and zibeon, and anah,  ^ 2
and shobal, and zibeon, and anah, and dishon,  ^ 2
and zibeon, and anah, and dishon, and ezer,  ^ 2
are the kings that reigned in the land  ^ 2
the son of zerah of bozrah reigned  ^ 2
of zerah of bozrah reigned in his stead.  ^ 2
midian in the field of moab, reigned  ^ 2
in the field of moab, reigned in his stead:  ^ 2
of moab, reigned in his stead: and the name  ^ 2
in his stead: and the name of his city was avith.  ^ 2
of rehoboth by the river reigned in his stead.  ^ 2
the son of achbor reigned in his stead.  ^ 2
the sons of japheth; gomer, and magog,  ^ 2
of japheth; gomer, and magog, and madai,  ^ 2
gomer, and magog, and madai, and javan,  ^ 2
and magog, and madai, and javan, and tubal,  ^ 2
and madai, and javan, and tubal, and meshech,  ^ 2
and javan, and tubal, and meshech, and tiras.  ^ 2
and his wife's name was mehetabel, the daughter  ^ 2
name was mehetabel, the daughter of matred,  ^ 2
was mehetabel, the daughter of matred, the daughter  ^ 2
the daughter of matred, the daughter of mezahab.  ^ 2
duke jetheth, duke aholibamah,  ^ 2
jetheth, duke aholibamah, duke  ^ 2
duke aholibamah, duke elah,  ^ 2
aholibamah, duke elah, duke  ^ 2
duke elah, duke pinon,  ^ 2
elah, duke pinon, duke  ^ 2
duke pinon, duke kenaz,  ^ 2
pinon, duke kenaz, duke  ^ 2
duke kenaz, duke teman,  ^ 2
kenaz, duke teman, duke  ^ 2
duke teman, duke mibzar,  ^ 2
teman, duke mibzar, duke  ^ 2
duke mibzar, duke magdiel,  ^ 2
mibzar, duke magdiel, duke  ^ 2
and tubal, and meshech, and tiras. and the sons  ^ 2
and meshech, and tiras. and the sons of gomer;  ^ 2
and riphath, and togarmah. and the sons of javan;  ^ 2
and togarmah. and the sons of javan; elishah,  ^ 2
and the sons of javan; elishah, and tarshish,  ^ 2
of javan; elishah, and tarshish, kittim,  ^ 2
elishah, and tarshish, kittim, and dodanim.  ^ 2
and the sons of raamah; sheba, and dedan.  ^ 2
and canaan. and the sons of cush; seba,  ^ 2
and the sons of cush; seba, and havilah,  ^ 2
from before the philistines, and fell down slain  ^ 2
the philistines, and fell down slain in mount  ^ 2
and fell down slain in mount gilboa.  ^ 2
and the men of israel fled from before  ^ 2
of israel fled from before the philistines,  ^ 2
fled from before the philistines, and fell down  ^ 2
slain in mount gilboa. and the philistines  ^ 2
and the philistines slew jonathan, and abinadab,  ^ 2
slew jonathan, and abinadab, and malchi-shua,  ^ 2
and the battle went sore against saul,  ^ 2
went sore against saul, and the archers  ^ 2
against saul, and the archers hit  ^ 2
and thrust me through therewith; lest these uncircumcised  ^ 2
therewith; lest these uncircumcised come  ^ 2
and abuse me. but his armorbearer would not;  ^ 2
me. but his armorbearer would not; for  ^ 2
took a sword, and fell upon  ^ 2
draw thy sword, and thrust me through therewith; lest  ^ 2
thy sword, and thrust me through therewith; lest these  ^ 2
a sword, and fell upon and when his armorbearer  ^ 2
and fell upon and when his armorbearer saw  ^ 2
upon and when his armorbearer saw that  ^ 2
and when his armorbearer saw that saul  ^ 2
saw that saul was dead,  ^ 2
that saul was dead, he  ^ 2
saul was dead, he fell  ^ 2
was dead, he fell likewise  ^ 2
so saul died, and his three sons,  ^ 2
and that saul and his sons were dead,  ^ 2
when the philistines came to strip the slain,  ^ 2
came to strip the slain, that they found  ^ 2
to strip the slain, that they found saul  ^ 2
and sent into the land of the philistines round about,  ^ 2
saying, behold, we are thy bone  ^ 2
behold, we are thy bone and thy flesh.  ^ 2
lifted up his spear against three  ^ 2
time. and after him was eleazar the son  ^ 2
in the valley of rephaim. and david was then  ^ 2
longed, and said, oh that one would give me drink  ^ 2
and said, oh that one would give me drink of the water  ^ 2
oh that one would give me drink of the water of the well  ^ 2
out of the well of bethlehem, that was by the gate,  ^ 2
of bethlehem, that was by the gate, and took  ^ 2
that was by the gate, and took it , and brought  ^ 2
was by the gate, and took it , and brought it to  ^ 2
and took it , and brought it to david:  ^ 2
broke through the host of the philistines, and drew  ^ 2
the host of the philistines, and drew water  ^ 2
of the philistines, and drew water out of the well  ^ 2
and drew water out of the well of bethlehem,  ^ 2
water out of the well of bethlehem, that  ^ 2
not drink it. these things did  ^ 2
drink it. these things did these three  ^ 2
shalt feed my people israel, and thou  ^ 2
my people israel, and thou shalt be  ^ 2
his spear against three hundred,  ^ 2
he slew two lionlike men  ^ 2
slew two lionlike men of moab:  ^ 2
the son of jehoiada, the son of a valiant  ^ 2
to him with a staff, and plucked the spear  ^ 2
him with a staff, and plucked the spear out of the egyptian's hand,  ^ 2
and plucked the spear out of the egyptian's hand, and slew  ^ 2
the spear out of the egyptian's hand, and slew him with his own spear.  ^ 2
out of the egyptian's hand, and slew him with his own spear. these  ^ 2
and slew him with his own spear. these things did  ^ 2
him with his own spear. these things did benaiah  ^ 2
these things did benaiah the son  ^ 2
things did benaiah the son of jehoiada,  ^ 2
benaiah the son of jehoiada, and had the name  ^ 2
and david set him over his guard.  ^ 2
elhanan the son of dodo of bethlehem,  ^ 2
ira the son of ikkesh the tekoite,  ^ 2
the son of ikkesh the tekoite, abiezer  ^ 2
and they anointed david king over  ^ 2
david king over israel,  ^ 2
such as went forth to battle, expert in war,  ^ 2
and david was displeased, because the lord  ^ 2
was displeased, because the lord had made  ^ 2
because the lord had made a breach  ^ 2
to this day. and david  ^ 2
this day. and david was afraid  ^ 2
the house of obed-edom, and all that  ^ 2
king of tyre sent messengers  ^ 2
of tyre sent messengers to  ^ 2
and spread themselves in the valley of rephaim. and david  ^ 2
the name of that place baal-perazim.  ^ 2
and david perceived that the lord  ^ 2
and nogah, and nepheg, and japhia, and elishama,  ^ 2
and mattithiah, and elipheleh, and mikneiah, and obed-edom,  ^ 2
and elipheleh, and mikneiah, and obed-edom, and jeiel,  ^ 2
to bring up the ark of the covenant of the lord  ^ 2
seven bullocks and seven rams.  ^ 2
ye of all his wondrous works. glory ye in his holy  ^ 2
his wondrous works. glory ye in his holy name:  ^ 2
glory ye in his holy name: let the heart  ^ 2
ye in his holy name: let the heart of them rejoice  ^ 2
name: let the heart of them rejoice that seek  ^ 2
let the heart of them rejoice that seek the lord.  ^ 2
of them rejoice that seek the lord. seek  ^ 2
his wonders, and the judgments of his mouth; o ye seed  ^ 2
saying, unto thee will i give the land of canaan,  ^ 2
unto thee will i give the land of canaan, the lot  ^ 2
to another people; he suffered  ^ 2
another people; he suffered no  ^ 2
people; he suffered no man  ^ 2
he suffered no man to do them wrong:  ^ 2
no man to do them wrong: yea, he reproved  ^ 2
man to do them wrong: yea, he reproved kings  ^ 2
above all gods. for  ^ 2
all gods. for all  ^ 2
gods. for all the gods  ^ 2
are idols: but the lord made the heavens.  ^ 2
of the people, give unto the lord glory  ^ 2
give unto the lord the glory due unto his name:  ^ 2
unto the lord the glory due unto his name: bring  ^ 2
the glory due unto his name: bring an offering,  ^ 2
due unto his name: bring an offering, and come  ^ 2
he is good; for his mercy endureth forever.  ^ 2
said, amen, and praised the lord.  ^ 2
in thy praise. blessed be the lord god  ^ 2
make known his deeds among the people. sing  ^ 2
his deeds among the people. sing unto him, sing psalms  ^ 2
that i commanded judges to be over  ^ 2
i commanded judges to be over my people  ^ 2
and i will establish his kingdom. he shall build  ^ 2
forever. i will be his father,  ^ 2
i will be his father, and he  ^ 2
will be his father, and he shall be  ^ 2
so did nathan speak unto  ^ 2
did nathan speak unto david.  ^ 2
according to all these words, and according to all  ^ 2
these words, and according to all this  ^ 2
words, and according to all this vision,  ^ 2
and according to all this vision, so  ^ 2
this vision, so did nathan  ^ 2
vision, so did nathan speak  ^ 2
do all that is in thine heart;  ^ 2
all that is in thine heart; for  ^ 2
thee, according to all that we have heard with our ears.  ^ 2
there is none like thee, neither is there any god  ^ 2
like thee, neither is there any god beside  ^ 2
neither is there any god beside thee, according to all  ^ 2
is there any god beside thee, according to all that  ^ 2
beside thee, according to all that we have heard  ^ 2
that we have heard with our ears. and what  ^ 2
whom god went to redeem  ^ 2
we have heard with our ears. and what one  ^ 2
with our ears. and what one nation  ^ 2
and what one nation in the earth  ^ 2
forever, saying, the lord of hosts  ^ 2
saying, the lord of hosts is the god  ^ 2
this goodness unto thy servant:  ^ 2
nathan, saying, go and tell  ^ 2
of israel, whom i commanded to feed  ^ 2
saith the lord of hosts, i  ^ 2
the lord of hosts, i took  ^ 2
of hosts, i took thee from  ^ 2
i took thee from the sheepcote,  ^ 2
unto my servant david, thus saith  ^ 2
david, thus saith the lord  ^ 2
no more; neither shall the children  ^ 2
more; neither shall the children of wickedness  ^ 2
a place for my people israel, and will plant  ^ 2
this it came to pass, that david smote  ^ 2
it came to pass, that david smote the philistines,  ^ 2
that david smote the philistines, and subdued  ^ 2
thus the lord preserved david whithersoever  ^ 2
his people. and joab the son of zeruiah  ^ 2
and joab the son of zeruiah was over  ^ 2
the son of zeruiah was over the host;  ^ 2
of zeruiah was over the host; and jehoshaphat  ^ 2
was over the host; and jehoshaphat the son  ^ 2
the son of jehoiada was over the cherethites  ^ 2
horsemen, and twenty thousand footmen:  ^ 2
all the chariot horses , but reserved of  ^ 2
euphrates. and david took from  ^ 2
and david took from him a thousand  ^ 2
of zobah, david slew of the syrians  ^ 2
david slew of the syrians two  ^ 2
slew of the syrians two and twenty  ^ 2
of the syrians two and twenty thousand  ^ 2
two and twenty thousand men.  ^ 2
chariots. and when the syrians of damascus came  ^ 2
king of zobah, david slew  ^ 2
and twenty thousand men. then david  ^ 2
thousand men. then david put  ^ 2
whithersoever he went. and david took  ^ 2
he went. and david took the shields  ^ 2
and david took the shields of gold  ^ 2
took the shields of gold that  ^ 2
the shields of gold that were  ^ 2
of gold that were on  ^ 2
that were on the servants  ^ 2
david had smitten all the host  ^ 2
against him before and behind, he chose  ^ 2
against the children of ammon. and he said,  ^ 2
me: but if the children of ammon be too strong  ^ 2
the children of ammon be too strong for  ^ 2
the children of ammon. and he said, if  ^ 2
of ammon. and he said, if the syrians  ^ 2
and he said, if the syrians be too strong  ^ 2
if the syrians be too strong for  ^ 2
for our people, and for the cities  ^ 2
our people, and for the cities of our god:  ^ 2
and they fled before and when the children of ammon  ^ 2
before and when the children of ammon saw  ^ 2
of ammon saw that the syrians  ^ 2
saw that the syrians were fled,  ^ 2
the syrians that were beyond the river:  ^ 2
the captain of the host of hadarezer went before  ^ 2
to jerusalem. and when the syrians saw that  ^ 2
saw that they were put to the worse before  ^ 2
that they were put to the worse before israel,  ^ 2
fled before israel; and david  ^ 2
before israel; and david slew  ^ 2
before israel, they made peace with  ^ 2
i will show kindness unto hanun  ^ 2
kindness unto hanun the son  ^ 2
unto hanun the son of nahash,  ^ 2
thou that david doth honor thy father, that  ^ 2
doth honor thy father, that he hath sent  ^ 2
thy father, that he hath sent comforters  ^ 2
thinkest thou that david doth honor thy father,  ^ 2
wherefore hanun took david's servants,  ^ 2
and the king said, tarry at jericho  ^ 2
said, tarry at jericho until  ^ 2
tarry at jericho until your beards  ^ 2
at jericho until your beards be grown,  ^ 2
until your beards be grown, and then return.  ^ 2
your beards be grown, and then return. and when the children  ^ 2
be grown, and then return. and when the children of ammon  ^ 2
and then return. and when the children of ammon saw  ^ 2
and when david heard of it , he sent joab,  ^ 2
heard of it , he sent joab, and all  ^ 2
of it , he sent joab, and all the host  ^ 2
joab, and all the host of the mighty men.  ^ 2
and all the host of the mighty men. and the children  ^ 2
the host of the mighty men. and the children of ammon  ^ 2
of the mighty men. and the children of ammon came out,  ^ 2
reuben, simeon, levi, and judah,  ^ 2
simeon, levi, and judah, issachar,  ^ 2
begot boaz, and boaz begot  ^ 2
boaz, and boaz begot obed,  ^ 2
and boaz begot obed, and obed  ^ 2
obed, and obed begot jesse,  ^ 2
and obed begot jesse, and jesse  ^ 2
begot jesse, and jesse begot  ^ 2
died without children. and the sons  ^ 2
begot shallum, and shallum begot  ^ 2
the children of ammon any more. and it came to pass,  ^ 2
and besieged rabbah. but david tarried  ^ 2
israel, jonathan the son of shimea  ^ 2
by the hand of david, and by the hand of his servants.  ^ 2
david's seer, saying, go  ^ 2
the lord, i offer thee three  ^ 2
thus saith the lord, i  ^ 2
saith the lord, i offer  ^ 2
thee one of them, that i may do so gad  ^ 2
of them, that i may do so gad came  ^ 2
so gad came to david,  ^ 2
now into the hand of the lord; for  ^ 2
to him that sent and david said unto  ^ 2
and david said unto gad,  ^ 2
fall into the hand of man. so the lord  ^ 2
into the hand of man. so the lord sent  ^ 2
of the evil, and said to the angel  ^ 2
stay now thine hand. and the angel  ^ 2
now thine hand. and the angel of the lord  ^ 2
sheep, what have they done? let thine hand,  ^ 2
what have they done? let thine hand, i pray thee,  ^ 2
and david said unto god,  ^ 2
that the plague may be stayed from the people.  ^ 2
and david built there an altar  ^ 2
built there an altar unto the lord,  ^ 2
there an altar unto the lord, and offered  ^ 2
an altar unto the lord, and offered burnt offerings  ^ 2
thousand men that drew sword:  ^ 2
thousand men that drew sword.  ^ 2
the sum of the number of the people unto  ^ 2
gad, david's seer, saying,  ^ 2
to build a house unto the name of the lord  ^ 2
but the word of the lord came to  ^ 2
the sons of merari; mahli, and mushi.  ^ 2
as the lord god of israel  ^ 2
the children of ephraim: and in his course  ^ 2
of ephraim: and in his course were twenty  ^ 2
of the children of ephraim: and in  ^ 2
of the zarhites: and in his course were twenty  ^ 2
the work of the service of the house of the lord,  ^ 2
thee; he will not fail thee, nor forsake  ^ 2
god of abraham, isaac, and of israel,  ^ 2
seven years reigned he in hebron,  ^ 2
years reigned he in hebron, and thirty  ^ 2
reigned he in hebron, and thirty and three  ^ 2
the book of nathan the prophet, and in  ^ 2
years and six months: and in jerusalem  ^ 2
and six months: and in jerusalem he reigned  ^ 2
months: and in jerusalem he reigned thirty  ^ 2
and in jerusalem he reigned thirty and three  ^ 2
seven years and six months:  ^ 2
and nepheg, and japhia, and elishama, and eliada,  ^ 2
in the days of hezekiah king of judah,  ^ 2
and dwelt there unto this  ^ 2
king of judah, and in the days of jeroboam  ^ 2
and the gadites, and the half tribe of manasseh,  ^ 2
of levi; gershon, kohath, and merari.  ^ 2
begot amariah, and amariah begot  ^ 2
amariah, and amariah begot ahitub,  ^ 2
and amariah begot ahitub, and ahitub  ^ 2
begot ahitub, and ahitub begot  ^ 2
ahitub, and ahitub begot zadok,  ^ 2
and ahitub begot zadok, and zadok  ^ 2
begot zadok, and zadok begot  ^ 2
libni, and shimei. and the sons of kohath  ^ 2
gershon, kohath, and merari. and the sons  ^ 2
the son of ebiasaph, the son of korah,  ^ 2
the son of izhar, the son of kohath,  ^ 2
of izhar, the son of kohath, the son  ^ 2
the son of kohath, the son of levi,  ^ 2
thereof round about but the fields of the city, and the villages  ^ 2
of manasseh in bashan, thirteen cities.  ^ 2
of issachar, and out of the tribe of asher, and out of the tribe  ^ 2
and out of the tribe of asher, and out of the tribe of naphtali,  ^ 2
and out of the tribe of gad, and out of the tribe of zebulun,  ^ 2
of gad, and out of the tribe of zebulun, twelve  ^ 2
and out of the tribe of zebulun, twelve cities.  ^ 2
of reuben, and out of the tribe of gad, and out of the tribe  ^ 2
of zebulun, twelve cities. and the children  ^ 2
twelve cities. and the children of israel  ^ 2
cities. and the children of israel gave  ^ 2
out of the tribe of the children of judah, and out of the tribe  ^ 2
of the children of judah, and out of the tribe of the children  ^ 2
of judah, and out of the tribe of the children of simeon,  ^ 2
heads of the house of their fathers, mighty men  ^ 2
whose wife's name was maachah: and his firstborn  ^ 2
name was maachah: and his firstborn son  ^ 2
was maachah: and his firstborn son abdon,  ^ 2
also dwelt with their brethren  ^ 2
and saul begot jonathan, and malchi-shua,  ^ 2
begot jonathan, and malchi-shua, and abinadab,  ^ 2
jonathan, and malchi-shua, and abinadab, and esh-baal.  ^ 2
and malchi-shua, and abinadab, and esh-baal. and the son  ^ 2
and abinadab, and esh-baal. and the son of jonathan  ^ 2
and merib-baal begot micah. and the sons  ^ 2
begot micah. and the sons of micah  ^ 2
micah. and the sons of micah were , pithon,  ^ 2
and the sons of micah were , pithon, and melech,  ^ 2
and azmaveth, and zimri; and zimri begot  ^ 2
begot alemeth, and azmaveth, and zimri;  ^ 2
alemeth, and azmaveth, and zimri; and zimri  ^ 2
bocheru, and ishmael, and sheariah, and obadiah,  ^ 2
and azel had six sons, whose names  ^ 2
had six sons, whose names are these,  ^ 2
sons, whose names are these, azrikam,  ^ 2
whose names are these, azrikam, bocheru,  ^ 2
are these, azrikam, bocheru, and ishmael,  ^ 2
azrikam, bocheru, and ishmael, and sheariah,  ^ 2
of zadok, the son of meraioth, the son  ^ 2
the son of meraioth, the son of ahitub,  ^ 2
the son of hilkiah, the son of meshullam,  ^ 2
of hilkiah, the son of meshullam, the son  ^ 2
the son of meshullam, the son of zadok,  ^ 2
of meshullam, the son of zadok, the son  ^ 2
the son of zadok, the son of meraioth,  ^ 2
and adaiah the son of jeroham, the son  ^ 2
the son of azrikam, the son of hashabiah,  ^ 2
of benjamin; sallu the son of meshullam,  ^ 2
sallu the son of meshullam, the son  ^ 2
lord jesus christ, that  ^ 2
and in the same  ^ 2
you, brethren, by the  ^ 2
of you, my brethren,  ^ 2
saith, i am of paul;  ^ 2
i am of paul; and  ^ 2
our brother, unto the church of god  ^ 2
unto the church of god which is  ^ 2
church of god which is at  ^ 2
of god which is at corinth,  ^ 2
of the world to confound  ^ 2
from the lord jesus christ. i thank  ^ 2
christ. i thank my god  ^ 2
for the grace of god  ^ 2
lord jesus christ: who  ^ 2
son jesus christ our  ^ 2
is it not the communion of the  ^ 2
are lawful for me, but all things  ^ 2
but all things are not expedient: all things  ^ 2
all things are not expedient: all things are lawful  ^ 2
are not expedient: all things are lawful for me,  ^ 2
for conscience sake: for the earth  ^ 2
the earth is the lord's,  ^ 2
earth is the lord's, and  ^ 2
is the lord's, and the  ^ 2
lord's, and the fullness  ^ 2
if any man say unto you,  ^ 2
to eat and drink, and  ^ 2
that the lord jesus  ^ 2
for you: this do  ^ 2
you: this do in  ^ 2
this do in remembrance  ^ 2
do in remembrance of me.  ^ 2
eat: this is my  ^ 2
the new testament in  ^ 2
new testament in my  ^ 2
this bread, and drink  ^ 2
for as the body  ^ 2
i am not of the  ^ 2
not of the body;  ^ 2
of the body; is  ^ 2
the body; is it  ^ 2
body; is it therefore  ^ 2
is it therefore not  ^ 2
it therefore not of  ^ 2
therefore not of the  ^ 2
not of the body?  ^ 2
but if there be no  ^ 2
and if christ be not  ^ 2
in your sins. then  ^ 2
christ jesus our lord,  ^ 2
in christ jesus our  ^ 2
incorruption, and this mortal  ^ 2
lord jesus christ. therefore,  ^ 2
church that is in their house.  ^ 2
with a holy kiss. the  ^ 2
for who hath known the mind  ^ 2
even as the lord  ^ 2
for in christ jesus  ^ 2
if the lord will,  ^ 2
for the kingdom of god  ^ 2
in the day of the  ^ 2
the day of the lord  ^ 2
day of the lord jesus.  ^ 2
a little leaven leaveneth the  ^ 2
leaven leaveneth the whole  ^ 2
of the lord jesus, and  ^ 2
know ye not that your  ^ 2
what? know ye not that  ^ 2
whom are all things, and we  ^ 2
and eateth not of  ^ 2
eateth not of the  ^ 2
in the law of moses,  ^ 2
is not in us.  ^ 2
which was with the  ^ 2
his son jesus christ.  ^ 2
that your joy may be  ^ 2
your joy may be full.  ^ 2
and in him is  ^ 2
in him is no  ^ 2
if we say that we have  ^ 2
and the truth is  ^ 2
the truth is not  ^ 2
truth is not in  ^ 2
in the light, and  ^ 2
i write unto you, little children, because  ^ 2
unto you, fathers, because ye have known  ^ 2
fathers, because ye have known him  ^ 2
because ye have known him that is from  ^ 2
